frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-10.1781,6.6834,-10.1781,6.6834,-3.0502,1.7732,-3.0502,1.7732,-3.9031,2.2953,-9.3724,3.8548,-9.3724,3.8548,0.0,0,0.0,0,8.6555,7.6572,2.9411,0.0,0.0,0,SAFE,safe,,,7.6572
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-3.0502,1.7732,-3.0502,1.7732,-3.9031,2.2953,-9.3724,3.8548,-9.3724,3.8548,0.0,0,0.0,0,10.9512,9.992,6.0512,0.0,0.0,0,SAFE,safe,,,9.992
1,0.0833,0,W01,-10.1775,6.6829,-10.1775,6.6829,-3.0511,1.7738,-3.0511,1.7738,-3.904,2.2958,-9.3722,3.855,-9.3722,3.855,0.0,0,0.0,0,8.6537,7.6553,2.9404,0.0,0.0,0,SAFE,safe,,,7.6553
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-3.0511,1.7738,-3.0511,1.7738,-3.904,2.2958,-9.3722,3.855,-9.3722,3.855,0.0,0,0.0,0,10.9499,9.9907,6.0509,0.0,0.0,0,SAFE,safe,,,9.9907
2,0.1667,1,W01,-10.1758,6.6815,-10.1758,6.6815,-3.0538,1.7754,-3.0538,1.7754,-3.9066,2.2976,-9.3713,3.8555,-9.3713,3.8555,0.0,0,0.0,0,8.6483,7.6499,2.9383,0.0,0.0,0,SAFE,safe,,,7.6499
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-3.0538,1.7754,-3.0538,1.7754,-3.9066,2.2976,-9.3713,3.8555,-9.3713,3.8555,0.0,0,0.0,0,10.9458,9.9866,6.0499,0.0,0.0,0,SAFE,safe,,,9.9866
3,0.25,0,W01,-10.173,6.6792,-10.173,6.6792,-3.0583,1.7782,-3.0583,1.7782,-3.9112,2.3003,-9.3699,3.8563,-9.3699,3.8563,0.0,0,0.0,0,8.6393,7.6409,2.9349,0.0,0.0,0,SAFE,safe,,,7.6409
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-3.0583,1.7782,-3.0583,1.7782,-3.9112,2.3003,-9.3699,3.8563,-9.3699,3.8563,0.0,0,0.0,0,10.939,9.9799,6.0482,0.0,0.0,0,SAFE,safe,,,9.9799
4,0.3333,1,W01,-10.169,6.676,-10.169,6.676,-3.0646,1.7821,-3.0646,1.7821,-3.9175,2.3042,-9.368,3.8574,-9.368,3.8574,0.0,0,0.0,0,8.6268,7.6285,2.9302,0.0,0.0,0,SAFE,safe,,,7.6285
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-3.0646,1.7821,-3.0646,1.7821,-3.9175,2.3042,-9.368,3.8574,-9.368,3.8574,0.0,0,0.0,0,10.9296,9.9705,6.0459,0.0,0.0,0,SAFE,safe,,,9.9705
