frame,time_s,object,world_x,world_y
0,0.0,forklift,-3.256,1.2469
0,0.0,dropzone,-9.2214,3.9316
0,0.0,W01,-9.7125,6.6776
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-3.2568,1.2476
1,0.0833,dropzone,-9.221,3.9317
1,0.0833,W01,-9.7119,6.6771
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-3.2593,1.2495
2,0.1667,dropzone,-9.2201,3.9321
2,0.1667,W01,-9.7103,6.6756
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-3.2633,1.2527
3,0.25,dropzone,-9.2186,3.9327
3,0.25,W01,-9.7077,6.6731
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-3.2689,1.2571
4,0.3333,dropzone,-9.2165,3.9335
4,0.3333,W01,-9.704,6.6697
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-3.2761,1.2627
5,0.4167,dropzone,-9.2138,3.9346
5,0.4167,W01,-9.6993,6.6654
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-3.2847,1.2695
6,0.5,dropzone,-9.2106,3.9359
6,0.5,W01,-9.6936,6.6601
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-3.2949,1.2775
7,0.5833,dropzone,-9.2068,3.9374
7,0.5833,W01,-9.687,6.654
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-3.3065,1.2866
8,0.6667,dropzone,-9.2024,3.9391
8,0.6667,W01,-9.6794,6.6469
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-3.3196,1.2969
9,0.75,dropzone,-9.1975,3.941
9,0.75,W01,-9.6708,6.639
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-3.334,1.3082
10,0.8333,dropzone,-9.1921,3.9432
10,0.8333,W01,-9.6614,6.6303
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-3.3498,1.3207
11,0.9167,dropzone,-9.1861,3.9456
11,0.9167,W01,-9.651,6.6207
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-3.367,1.3342
12,1.0,dropzone,-9.1797,3.9481
12,1.0,W01,-9.6398,6.6103
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-3.3855,1.3487
13,1.0833,dropzone,-9.1727,3.9509
13,1.0833,W01,-9.6276,6.5991
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-3.4053,1.3643
14,1.1667,dropzone,-9.1653,3.9538
14,1.1667,W01,-9.6147,6.5871
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-3.4263,1.3808
15,1.25,dropzone,-9.1574,3.957
15,1.25,W01,-9.6009,6.5744
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-3.4486,1.3983
16,1.3333,dropzone,-9.1491,3.9603
16,1.3333,W01,-9.5863,6.5608
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-3.4721,1.4168
17,1.4167,dropzone,-9.1402,3.9638
17,1.4167,W01,-9.5709,6.5466
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-3.4968,1.4362
18,1.5,dropzone,-9.131,3.9675
18,1.5,W01,-9.5548,6.5317
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,-3.5226,1.4565
19,1.5833,dropzone,-9.1213,3.9713
19,1.5833,W01,-9.5379,6.516
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,-3.5495,1.4777
20,1.6667,dropzone,-9.1112,3.9754
20,1.6667,W01,-9.5202,6.4997
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,-3.5776,1.4997
21,1.75,dropzone,-9.1007,3.9795
21,1.75,W01,-9.5018,6.4827
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,-3.6067,1.5226
22,1.8333,dropzone,-9.0897,3.9839
22,1.8333,W01,-9.4828,6.465
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,-3.6369,1.5463
23,1.9167,dropzone,-9.0784,3.9884
23,1.9167,W01,-9.463,6.4468
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,-3.668,1.5708
24,2.0,dropzone,-9.0667,3.993
24,2.0,W01,-9.4426,6.4279
24,2.0,W02,-10.3416,9.7155
25,2.0833,forklift,-3.7002,1.5961
25,2.0833,dropzone,-9.0546,3.9978
25,2.0833,W01,-9.4215,6.4084
25,2.0833,W02,-10.3292,9.7089
26,2.1667,forklift,-3.7333,1.6221
26,2.1667,dropzone,-9.0422,4.0028
26,2.1667,W01,-9.3998,6.3883
26,2.1667,W02,-10.3165,9.7021
27,2.25,forklift,-3.7673,1.6489
27,2.25,dropzone,-9.0294,4.0079
27,2.25,W01,-9.3775,6.3677
27,2.25,W02,-10.3034,9.6951
28,2.3333,forklift,-3.8023,1.6764
28,2.3333,dropzone,-9.0163,4.0131
28,2.3333,W01,-9.3546,6.3465
28,2.3333,W02,-10.2899,9.688
29,2.4167,forklift,-3.8381,1.7045
29,2.4167,dropzone,-9.0029,4.0184
29,2.4167,W01,-9.3312,6.3248
29,2.4167,W02,-10.2762,9.6806
30,2.5,forklift,-3.8748,1.7333
30,2.5,dropzone,-8.9891,4.0239
30,2.5,W01,-9.3072,6.3026
30,2.5,W02,-10.2621,9.6731
31,2.5833,forklift,-3.9123,1.7628
31,2.5833,dropzone,-8.975,4.0295
31,2.5833,W01,-9.2826,6.2799
31,2.5833,W02,-10.2477,9.6654
32,2.6667,forklift,-3.9506,1.7929
32,2.6667,dropzone,-8.9607,4.0352
32,2.6667,W01,-9.2575,6.2567
32,2.6667,W02,-10.2329,9.6576
33,2.75,forklift,-3.9896,1.8236
33,2.75,dropzone,-8.946,4.041
33,2.75,W01,-9.2319,6.233
33,2.75,W02,-10.2179,9.6496
34,2.8333,forklift,-4.0294,1.8549
34,2.8333,dropzone,-8.9311,4.047
34,2.8333,W01,-9.2059,6.2089
34,2.8333,W02,-10.2026,9.6414
35,2.9167,forklift,-4.0699,1.8867
35,2.9167,dropzone,-8.9159,4.053
35,2.9167,W01,-9.1794,6.1844
35,2.9167,W02,-10.1871,9.6331
36,3.0,forklift,-4.1111,1.9191
36,3.0,dropzone,-8.9004,4.0591
36,3.0,W01,-9.1524,6.1594
36,3.0,W02,-10.1712,9.6247
37,3.0833,forklift,-4.1529,1.952
37,3.0833,dropzone,-8.8847,4.0654
37,3.0833,W01,-9.125,6.1341
37,3.0833,W02,-10.1551,9.6161
38,3.1667,forklift,-4.1953,1.9853
38,3.1667,dropzone,-8.8688,4.0717
38,3.1667,W01,-9.0972,6.1084
38,3.1667,W02,-10.1388,9.6074
39,3.25,forklift,-4.2384,2.0192
39,3.25,dropzone,-8.8526,4.0781
39,3.25,W01,-9.069,6.0823
39,3.25,W02,-10.1223,9.5985
40,3.3333,forklift,-4.282,2.0534
40,3.3333,dropzone,-8.8363,4.0846
40,3.3333,W01,-9.0404,6.0558
40,3.3333,W02,-10.1055,9.5896
41,3.4167,forklift,-4.3262,2.0882
41,3.4167,dropzone,-8.8197,4.0912
41,3.4167,W01,-9.0115,6.0291
41,3.4167,W02,-10.0885,9.5805
42,3.5,forklift,-4.3708,2.1233
42,3.5,dropzone,-8.8029,4.0979
42,3.5,W01,-8.9822,6.002
42,3.5,W02,-10.0713,9.5714
43,3.5833,forklift,-4.416,2.1588
43,3.5833,dropzone,-8.786,4.1046
43,3.5833,W01,-8.9527,5.9746
43,3.5833,W02,-10.054,9.5621
44,3.6667,forklift,-4.4616,2.1946
44,3.6667,dropzone,-8.7689,4.1114
44,3.6667,W01,-8.9228,5.947
44,3.6667,W02,-10.0364,9.5528
45,3.75,forklift,-4.5077,2.2308
45,3.75,dropzone,-8.7516,4.1183
45,3.75,W01,-8.8926,5.9191
45,3.75,W02,-10.0187,9.5433
46,3.8333,forklift,-4.5541,2.2674
46,3.8333,dropzone,-8.7341,4.1252
46,3.8333,W01,-8.8622,5.8909
46,3.8333,W02,-10.0009,9.5338
47,3.9167,forklift,-4.6009,2.3042
47,3.9167,dropzone,-8.7166,4.1322
47,3.9167,W01,-8.8315,5.8626
47,3.9167,W02,-9.9829,9.5242
48,4.0,forklift,-4.6481,2.3412
48,4.0,dropzone,-8.6989,4.1393
48,4.0,W01,-8.8006,5.834
48,4.0,W02,-9.9647,9.5145
49,4.0833,forklift,-4.6956,2.3786
49,4.0833,dropzone,-8.681,4.1463
49,4.0833,W01,-8.7695,5.8052
49,4.0833,W02,-9.9465,9.5048
50,4.1667,forklift,-4.7434,2.4161
50,4.1667,dropzone,-8.6631,4.1535
50,4.1667,W01,-8.7382,5.7763
50,4.1667,W02,-9.9281,9.495
51,4.25,forklift,-4.7914,2.4539
51,4.25,dropzone,-8.6451,4.1606
51,4.25,W01,-8.7067,5.7471
51,4.25,W02,-9.9096,9.4851
52,4.3333,forklift,-4.8397,2.4919
52,4.3333,dropzone,-8.6269,4.1678
52,4.3333,W01,-8.6751,5.7179
52,4.3333,W02,-9.8911,9.4752
53,4.4167,forklift,-4.8882,2.53
53,4.4167,dropzone,-8.6087,4.1751
53,4.4167,W01,-8.6433,5.6885
53,4.4167,W02,-9.8724,9.4653
54,4.5,forklift,-4.9369,2.5682
54,4.5,dropzone,-8.5905,4.1823
54,4.5,W01,-8.6115,5.659
54,4.5,W02,-9.8537,9.4553
55,4.5833,forklift,-4.9857,2.6066
55,4.5833,dropzone,-8.5722,4.1896
55,4.5833,W01,-8.5795,5.6294
55,4.5833,W02,-9.8349,9.4453
56,4.6667,forklift,-5.0347,2.6451
56,4.6667,dropzone,-8.5538,4.1969
56,4.6667,W01,-8.5474,5.5998
56,4.6667,W02,-9.8161,9.4353
57,4.75,forklift,-5.0837,2.6837
57,4.75,dropzone,-8.5354,4.2042
57,4.75,W01,-8.5153,5.57
57,4.75,W02,-9.7972,9.4252
58,4.8333,forklift,-5.1328,2.7223
58,4.8333,dropzone,-8.5169,4.2116
58,4.8333,W01,-8.4831,5.5403
58,4.8333,W02,-9.7784,9.4151
59,4.9167,forklift,-5.182,2.7609
59,4.9167,dropzone,-8.4985,4.2189
59,4.9167,W01,-8.4509,5.5105
59,4.9167,W02,-9.7595,9.405
60,5.0,forklift,-5.2312,2.7996
60,5.0,dropzone,-8.48,4.2262
60,5.0,W01,-8.4187,5.4807
60,5.0,W02,-9.7405,9.395
61,5.0833,forklift,-5.2803,2.8382
61,5.0833,dropzone,-8.4616,4.2336
61,5.0833,W01,-8.3865,5.4509
61,5.0833,W02,-9.7216,9.3849
62,5.1667,forklift,-5.3294,2.8768
62,5.1667,dropzone,-8.4431,4.2409
62,5.1667,W01,-8.3543,5.4211
62,5.1667,W02,-9.7028,9.3748
63,5.25,forklift,-5.3785,2.9154
63,5.25,dropzone,-8.4247,4.2482
63,5.25,W01,-8.3222,5.3914
63,5.25,W02,-9.6839,9.3647
64,5.3333,forklift,-5.4274,2.9539
64,5.3333,dropzone,-8.4064,4.2555
64,5.3333,W01,-8.2901,5.3617
64,5.3333,W02,-9.6651,9.3547
65,5.4167,forklift,-5.4763,2.9922
65,5.4167,dropzone,-8.388,4.2628
65,5.4167,W01,-8.2582,5.3322
65,5.4167,W02,-9.6463,9.3447
66,5.5,forklift,-5.5249,3.0305
66,5.5,dropzone,-8.3698,4.2701
66,5.5,W01,-8.2263,5.3027
66,5.5,W02,-9.6276,9.3347
67,5.5833,forklift,-5.5734,3.0686
67,5.5833,dropzone,-8.3516,4.2773
67,5.5833,W01,-8.1945,5.2733
