frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5827,2.1506,-4.5827,2.1506,0.0,0,0.0,0,6.8809,6.5183,1.4035,0.0,1.0,1,SAFE,safe,,,6.5183
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5827,2.1506,-4.5827,2.1506,0.0,0,0.0,0,15.6205,15.0241,9.6709,0.0,0.0,0,SAFE,safe,,,15.0241
1,0.0833,0,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5833,2.1505,-4.5833,2.1505,0.0,0,0.0,0,6.8807,6.5183,1.403,0.0,1.0,1,SAFE,safe,,,6.5183
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5833,2.1505,-4.5833,2.1505,0.0,0,0.0,0,15.62,15.0236,9.6704,0.0,0.0,0,SAFE,safe,,,15.0236
2,0.1667,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.5849,2.1502,-4.5849,2.1502,0.0,0,0.0,0,6.8804,6.518,1.4013,0.0,1.0,1,SAFE,safe,,,6.518
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.5849,2.1502,-4.5849,2.1502,0.0,0,0.0,0,15.6184,15.0221,9.6686,0.0,0.0,0,SAFE,safe,,,15.0221
3,0.25,0,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.5876,2.1497,-4.5876,2.1497,0.0,0,0.0,0,6.8797,6.5175,1.3985,0.0,1.0,1,SAFE,safe,,,6.5175
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.5876,2.1497,-4.5876,2.1497,0.0,0,0.0,0,15.6159,15.0195,9.6658,0.0,0.0,0,SAFE,safe,,,15.0195
4,0.3333,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5914,2.1489,-4.5914,2.1489,0.0,0,0.0,0,6.8789,6.5169,1.3946,0.0,1.0,1,SAFE,safe,,,6.5169
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5914,2.1489,-4.5914,2.1489,0.0,0,0.0,0,15.6124,15.016,9.6618,0.0,0.0,0,SAFE,safe,,,15.016
5,0.4167,0,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.5963,2.148,-4.5963,2.148,0.0,0,0.0,0,6.8777,6.5161,1.3897,0.0,1.0,1,SAFE,safe,,,6.5161
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.5963,2.148,-4.5963,2.148,0.0,0,0.0,0,15.6078,15.0116,9.6567,0.0,0.0,0,SAFE,safe,,,15.0116
6,0.5,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.6022,2.1469,-4.6022,2.1469,0.0,0,0.0,0,6.8764,6.5152,1.3837,0.0,1.0,1,SAFE,safe,,,6.5152
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.6022,2.1469,-4.6022,2.1469,0.0,0,0.0,0,15.6024,15.0062,9.6506,0.0,0.0,0,SAFE,safe,,,15.0062
7,0.5833,0,W01,-5.9744,1.9687,-5.9744,1.9687,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.609,2.1455,-4.609,2.1455,0.0,0,0.0,0,6.8748,6.5141,1.3767,0.0,1.0,1,SAFE,safe,,,6.5141
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.609,2.1455,-4.609,2.1455,0.0,0,0.0,0,15.596,14.9999,9.6435,0.0,0.0,0,SAFE,safe,,,14.9999
8,0.6667,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.6169,2.144,-4.6169,2.144,0.0,0,0.0,0,6.873,6.5128,1.3687,0.0,1.0,1,SAFE,safe,,,6.5128
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.6169,2.144,-4.6169,2.144,0.0,0,0.0,0,15.5887,14.9926,9.6353,0.0,0.0,0,SAFE,safe,,,14.9926
9,0.75,0,W01,-5.9744,1.9687,-5.9744,1.9687,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.6257,2.1423,-4.6257,2.1423,0.0,0,0.0,0,6.871,6.5114,1.3598,0.0,1.0,1,SAFE,safe,,,6.5114
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.6257,2.1423,-4.6257,2.1423,0.0,0,0.0,0,15.5804,14.9845,9.6261,0.0,0.0,0,SAFE,safe,,,14.9845
10,0.8333,1,W01,-5.9744,1.9687,-5.9744,1.9687,-0.494,-2.172,-0.494,-2.172,-0.2845,-1.1942,-4.6355,2.1404,-4.6355,2.1404,0.0,0,0.0,0,6.8687,6.5099,1.3498,0.0,1.0,1,SAFE,safe,,,6.5099
10,0.8333,1,W02,-10.47,9.784,-10.47,9.784,-0.494,-2.172,-0.494,-2.172,-0.2845,-1.1942,-4.6355,2.1404,-4.6355,2.1404,0.0,0,0.0,0,15.5713,14.9755,9.616,0.0,0.0,0,SAFE,safe,,,14.9755
