frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.5,-2.2
0,0.0,dropzone,-4.6562,2.9996
0,0.0,W01,-5.6437,2.575
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-0.4999,-2.1997
1,0.0833,dropzone,-4.6569,2.9995
1,0.0833,W01,-5.6437,2.575
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-0.4997,-2.1988
2,0.1667,dropzone,-4.6592,2.9991
2,0.1667,W01,-5.6437,2.575
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-0.4994,-2.1974
3,0.25,dropzone,-4.663,2.9985
3,0.25,W01,-5.6437,2.575
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-0.499,-2.1954
4,0.3333,dropzone,-4.6682,2.9976
4,0.3333,W01,-5.6437,2.575
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-0.4985,-2.1928
5,0.4167,dropzone,-4.6749,2.9965
5,0.4167,W01,-5.6437,2.575
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-0.4978,-2.1897
6,0.5,dropzone,-4.683,2.9952
6,0.5,W01,-5.6437,2.575
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-0.497,-2.186
7,0.5833,dropzone,-4.6925,2.9937
7,0.5833,W01,-5.6437,2.575
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-0.4961,-2.1819
8,0.6667,dropzone,-4.7033,2.9919
8,0.6667,W01,-5.6437,2.575
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-0.4951,-2.1772
9,0.75,dropzone,-4.7155,2.9899
9,0.75,W01,-5.6437,2.575
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-0.494,-2.172
10,0.8333,dropzone,-4.729,2.9877
10,0.8333,W01,-5.6437,2.575
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-0.4928,-2.1663
11,0.9167,dropzone,-4.7437,2.9852
11,0.9167,W01,-5.6437,2.575
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-0.4915,-2.1602
12,1.0,dropzone,-4.7597,2.9826
12,1.0,W01,-5.6437,2.575
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-0.49,-2.1535
13,1.0833,dropzone,-4.777,2.9798
13,1.0833,W01,-5.6437,2.575
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-0.4885,-2.1464
14,1.1667,dropzone,-4.7954,2.9767
14,1.1667,W01,-5.6437,2.575
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-0.4869,-2.1389
15,1.25,dropzone,-4.8151,2.9735
15,1.25,W01,-5.6437,2.575
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-0.4852,-2.1309
