frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-5.1355,2.817,-5.1355,2.817,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5842,3.2178,-4.5842,3.2178,0.0,0,0.0,0,6.8307,6.3079,0.6816,0.0,1.0,1,SAFE,safe,,,6.3079
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5842,3.2178,-4.5842,3.2178,0.0,0,0.0,0,15.6205,15.0241,8.8499,0.0,0.0,0,SAFE,safe,,,15.0241
1,0.0833,0,W01,-5.1355,2.817,-5.1355,2.817,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5849,3.2177,-4.5849,3.2177,0.0,0,0.0,0,6.8305,6.3078,0.681,0.0,1.0,1,SAFE,safe,,,6.3078
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5849,3.2177,-4.5849,3.2177,0.0,0,0.0,0,15.62,15.0236,8.8493,0.0,0.0,0,SAFE,safe,,,15.0236
2,0.1667,1,W01,-5.1355,2.817,-5.1355,2.817,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.5868,3.2173,-4.5868,3.2173,0.0,0,0.0,0,6.83,6.3074,0.6792,0.0,1.0,1,SAFE,safe,,,6.3074
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.5868,3.2173,-4.5868,3.2173,0.0,0,0.0,0,15.6184,15.0221,8.8473,0.0,0.0,0,SAFE,safe,,,15.0221
3,0.25,0,W01,-5.1355,2.817,-5.1355,2.817,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.59,3.2167,-4.59,3.2167,0.0,0,0.0,0,6.8292,6.3066,0.6762,0.0,1.0,1,SAFE,safe,,,6.3066
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.59,3.2167,-4.59,3.2167,0.0,0,0.0,0,15.6159,15.0195,8.8439,0.0,0.0,0,SAFE,safe,,,15.0195
4,0.3333,1,W01,-5.1355,2.817,-5.1355,2.817,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5944,3.2158,-4.5944,3.2158,0.0,0,0.0,0,6.828,6.3057,0.6721,0.0,1.0,1,SAFE,safe,,,6.3057
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5944,3.2158,-4.5944,3.2158,0.0,0,0.0,0,15.6124,15.016,8.8394,0.0,0.0,0,SAFE,safe,,,15.016
5,0.4167,0,W01,-5.1355,2.817,-5.1355,2.817,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.6,3.2147,-4.6,3.2147,0.0,0,0.0,0,6.8265,6.3045,0.6669,0.0,1.0,1,SAFE,safe,,,6.3045
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.6,3.2147,-4.6,3.2147,0.0,0,0.0,0,15.6078,15.0116,8.8335,0.0,0.0,0,SAFE,safe,,,15.0116
6,0.5,1,W01,-5.1355,2.817,-5.1355,2.817,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.6069,3.2133,-4.6069,3.2133,0.0,0,0.0,0,6.8246,6.303,0.6607,0.0,1.0,1,SAFE,safe,,,6.303
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.6069,3.2133,-4.6069,3.2133,0.0,0,0.0,0,15.6024,15.0062,8.8264,0.0,0.0,0,SAFE,safe,,,15.0062
7,0.5833,0,W01,-5.1355,2.817,-5.1355,2.817,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.6149,3.2117,-4.6149,3.2117,0.0,0,0.0,0,6.8225,6.3013,0.6533,0.0,1.0,1,SAFE,safe,,,6.3013
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.6149,3.2117,-4.6149,3.2117,0.0,0,0.0,0,15.596,14.9999,8.8181,0.0,0.0,0,SAFE,safe,,,14.9999
8,0.6667,1,W01,-5.1355,2.817,-5.1355,2.817,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.624,3.2099,-4.624,3.2099,0.0,0,0.0,0,6.82,6.2993,0.6449,0.0,1.0,1,SAFE,safe,,,6.2993
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.624,3.2099,-4.624,3.2099,0.0,0,0.0,0,15.5887,14.9926,8.8087,0.0,0.0,0,SAFE,safe,,,14.9926
9,0.75,0,W01,-5.1355,2.817,-5.1355,2.817,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.6343,3.2078,-4.6343,3.2078,0.0,0,0.0,0,6.8173,6.2971,0.6355,0.0,1.0,1,SAFE,safe,,,6.2971
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.6343,3.2078,-4.6343,3.2078,0.0,0,0.0,0,15.5804,14.9845,8.798,0.0,0.0,0,SAFE,safe,,,14.9845
10,0.8333,1,W01,-5.1355,2.817,-5.1355,2.817,-0.494,-2.172,-0.494,-2.172,-0.2845,-1.1942,-4.6457,3.2056,-4.6457,3.2056,0.0,0,0.0,0,6.8142,6.2946,0.6252,0.0,1.0,1,SAFE,safe,,,6.2946
