frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-8.2889,6.2997,-8.2889,6.2997,-0.1577,0.5959,-0.1577,0.5959,-0.9512,1.2045,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,9.9322,8.9332,3.7009,0.0,0.0,0,SAFE,safe,,,8.9332
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.1577,0.5959,-0.1577,0.5959,-0.9512,1.2045,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,13.8448,12.8477,7.6386,0.0,0.0,0,SAFE,safe,,,12.8477
1,0.0833,0,W01,-8.2882,6.2993,-8.2882,6.2993,-0.1588,0.5967,-0.1588,0.5967,-0.9522,1.2053,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,9.9301,8.9311,3.7005,0.0,0.0,0,SAFE,safe,,,8.9311
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.1588,0.5967,-0.1588,0.5967,-0.9522,1.2053,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,13.8431,12.846,7.6383,0.0,0.0,0,SAFE,safe,,,12.846
2,0.1667,1,W01,-8.2862,6.2982,-8.2862,6.2982,-0.1619,0.5991,-0.1619,0.5991,-0.9554,1.2078,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,9.9239,8.9249,3.6991,0.0,0.0,0,SAFE,safe,,,8.9249
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.1619,0.5991,-0.1619,0.5991,-0.9554,1.2078,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,13.8381,12.841,7.6375,0.0,0.0,0,SAFE,safe,,,12.841
3,0.25,0,W01,-8.283,6.2962,-8.283,6.2962,-0.1671,0.6031,-0.1671,0.6031,-0.9606,1.2117,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,9.9136,8.9146,3.6968,0.0,0.0,0,SAFE,safe,,,8.9146
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.1671,0.6031,-0.1671,0.6031,-0.9606,1.2117,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,13.8299,12.8328,7.6362,0.0,0.0,0,SAFE,safe,,,12.8328
4,0.3333,1,W01,-8.2785,6.2936,-8.2785,6.2936,-0.1743,0.6086,-0.1743,0.6086,-0.9678,1.2173,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,9.8993,8.9003,3.6937,0.0,0.0,0,SAFE,safe,,,8.9003
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.1743,0.6086,-0.1743,0.6086,-0.9678,1.2173,-7.893,2.6201,-7.893,2.6201,0.0,0,0.0,0,13.8185,12.8213,7.6344,0.0,0.0,0,SAFE,safe,,,12.8213
