frame,time_s,object,world_x,world_y
0,0.0,forklift,-1.1834,1.0496
0,0.0,dropzone,-7.3114,2.239
0,0.0,W01,-9.381,7.3381
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-1.1843,1.0504
1,0.0833,dropzone,-7.3114,2.239
1,0.0833,W01,-9.3802,7.3376
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-1.1871,1.0529
2,0.1667,dropzone,-7.3114,2.239
2,0.1667,W01,-9.3778,7.3361
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-1.1916,1.0569
3,0.25,dropzone,-7.3114,2.239
3,0.25,W01,-9.3739,7.3337
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-1.198,1.0625
4,0.3333,dropzone,-7.3114,2.239
4,0.3333,W01,-9.3684,7.3303
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-1.2061,1.0697
5,0.4167,dropzone,-7.3114,2.239
5,0.4167,W01,-9.3615,7.3259
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-1.2159,1.0784
6,0.5,dropzone,-7.3114,2.239
6,0.5,W01,-9.3531,7.3206
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-1.2273,1.0886
7,0.5833,dropzone,-7.3114,2.239
7,0.5833,W01,-9.3432,7.3144
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-1.2405,1.1002
8,0.6667,dropzone,-7.3114,2.239
8,0.6667,W01,-9.3319,7.3074
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-1.2552,1.1133
9,0.75,dropzone,-7.3114,2.239
9,0.75,W01,-9.3192,7.2994
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-1.2715,1.1278
10,0.8333,dropzone,-7.3114,2.239
10,0.8333,W01,-9.3052,7.2906
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-1.2894,1.1437
11,0.9167,dropzone,-7.3114,2.239
11,0.9167,W01,-9.2898,7.281
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-1.3088,1.1609
12,1.0,dropzone,-7.3114,2.239
12,1.0,W01,-9.2732,7.2705
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-1.3297,1.1794
13,1.0833,dropzone,-7.3114,2.239
13,1.0833,W01,-9.2552,7.2592
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-1.3521,1.1993
14,1.1667,dropzone,-7.3114,2.239
14,1.1667,W01,-9.236,7.2472
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-1.3759,1.2204
15,1.25,dropzone,-7.3114,2.239
15,1.25,W01,-9.2156,7.2344
15,1.25,W02,-10.4345,9.7651
