frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-9.4048,6.8006,-9.4048,6.8006,-1.408,-0.1052,-1.408,-0.1052,-2.1821,0.5279,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,10.5659,9.5663,4.4659,0.0,0.0,0,SAFE,safe,,,9.5663
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-1.408,-0.1052,-1.408,-0.1052,-2.1821,0.5279,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,13.4453,12.4563,7.6569,0.0,0.0,0,SAFE,safe,,,12.4563
1,0.0833,0,W01,-9.4042,6.8002,-9.4042,6.8002,-1.4089,-0.1045,-1.4089,-0.1045,-2.1829,0.5286,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,10.5641,9.5645,4.4654,0.0,0.0,0,SAFE,safe,,,9.5645
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-1.4089,-0.1045,-1.4089,-0.1045,-2.1829,0.5286,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,13.4439,12.4549,7.6567,0.0,0.0,0,SAFE,safe,,,12.4549
2,0.1667,1,W01,-9.4026,6.7989,-9.4026,6.7989,-1.4113,-0.1025,-1.4113,-0.1025,-2.1854,0.5306,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,10.5589,9.5592,4.4636,0.0,0.0,0,SAFE,safe,,,9.5592
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-1.4113,-0.1025,-1.4113,-0.1025,-2.1854,0.5306,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,13.4398,12.4507,7.6559,0.0,0.0,0,SAFE,safe,,,12.4507
3,0.25,0,W01,-9.4,6.7967,-9.4,6.7967,-1.4154,-0.0992,-1.4154,-0.0992,-2.1895,0.5339,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,10.5502,9.5506,4.4608,0.0,0.0,0,SAFE,safe,,,9.5506
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-1.4154,-0.0992,-1.4154,-0.0992,-2.1895,0.5339,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,13.4329,12.4439,7.6546,0.0,0.0,0,SAFE,safe,,,12.4439
4,0.3333,1,W01,-9.3963,6.7937,-9.3963,6.7937,-1.4211,-0.0945,-1.4211,-0.0945,-2.1952,0.5386,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,10.5381,9.5385,4.4569,0.0,0.0,0,SAFE,safe,,,9.5385
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-1.4211,-0.0945,-1.4211,-0.0945,-2.1952,0.5386,-8.0747,2.5373,-8.0747,2.5373,0.0,0,0.0,0,13.4233,12.4343,7.6528,0.0,0.0,0,SAFE,safe,,,12.4343
