frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.5975,2.0102
0,0.0,dropzone,-7.9881,2.8608
0,0.0,W01,-8.598,8.4849
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-0.5983,2.0108
1,0.0833,dropzone,-7.9881,2.8608
1,0.0833,W01,-8.5974,8.4846
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-0.6007,2.0128
2,0.1667,dropzone,-7.9881,2.8608
2,0.1667,W01,-8.5958,8.4835
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-0.6047,2.016
3,0.25,dropzone,-7.9881,2.8608
3,0.25,W01,-8.593,8.4817
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-0.6103,2.0206
4,0.3333,dropzone,-7.9881,2.8608
4,0.3333,W01,-8.5892,8.4792
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-0.6173,2.0263
5,0.4167,dropzone,-7.9881,2.8608
5,0.4167,W01,-8.5844,8.476
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-0.6259,2.0333
6,0.5,dropzone,-7.9881,2.8608
6,0.5,W01,-8.5785,8.4721
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-0.6359,2.0415
7,0.5833,dropzone,-7.9881,2.8608
7,0.5833,W01,-8.5716,8.4676
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-0.6474,2.0508
8,0.6667,dropzone,-7.9881,2.8608
8,0.6667,W01,-8.5637,8.4624
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-0.6602,2.0613
9,0.75,dropzone,-7.9881,2.8608
9,0.75,W01,-8.5548,8.4566
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-0.6745,2.0729
10,0.8333,dropzone,-7.9881,2.8608
10,0.8333,W01,-8.545,8.4502
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-0.6901,2.0857
11,0.9167,dropzone,-7.9881,2.8608
11,0.9167,W01,-8.5342,8.4432
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-0.7071,2.0995
12,1.0,dropzone,-7.9881,2.8608
12,1.0,W01,-8.5226,8.4355
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-0.7253,2.1144
13,1.0833,dropzone,-7.9881,2.8608
13,1.0833,W01,-8.51,8.4273
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-0.7448,2.1303
14,1.1667,dropzone,-7.9881,2.8608
14,1.1667,W01,-8.4966,8.4185
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-0.7656,2.1472
15,1.25,dropzone,-7.9881,2.8608
15,1.25,W01,-8.4823,8.4091
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-0.7876,2.1651
16,1.3333,dropzone,-7.9881,2.8608
16,1.3333,W01,-8.4671,8.3992
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-0.8108,2.184
17,1.4167,dropzone,-7.9881,2.8608
17,1.4167,W01,-8.4512,8.3888
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-0.8351,2.2039
18,1.5,dropzone,-7.9881,2.8608
18,1.5,W01,-8.4344,8.3778
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,-0.8606,2.2247
19,1.5833,dropzone,-7.9881,2.8608
19,1.5833,W01,-8.4169,8.3663
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,-0.8872,2.2463
20,1.6667,dropzone,-7.9881,2.8608
20,1.6667,W01,-8.3986,8.3543
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,-0.9149,2.2689
21,1.75,dropzone,-7.9881,2.8608
21,1.75,W01,-8.3795,8.3418
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,-0.9436,2.2923
22,1.8333,dropzone,-7.9881,2.8608
22,1.8333,W01,-8.3597,8.3289
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,-0.9734,2.3166
23,1.9167,dropzone,-7.9881,2.8608
23,1.9167,W01,-8.3392,8.3154
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,-1.0041,2.3417
24,2.0,dropzone,-7.9881,2.8608
