frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.5142,-2.3441
0,0.0,dropzone,-7.7291,0.7011
0,0.0,W01,-9.7936,8.2324
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-0.5141,-2.3439
1,0.0833,dropzone,-7.7291,0.7011
1,0.0833,W01,-9.7935,8.2321
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-0.5137,-2.3431
2,0.1667,dropzone,-7.7291,0.7011
2,0.1667,W01,-9.7933,8.2311
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-0.5131,-2.3419
3,0.25,dropzone,-7.7291,0.7011
3,0.25,W01,-9.7928,8.2296
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-0.5123,-2.3402
4,0.3333,dropzone,-7.7291,0.7011
4,0.3333,W01,-9.7923,8.2274
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-0.5112,-2.338
5,0.4167,dropzone,-7.7291,0.7011
5,0.4167,W01,-9.7915,8.2246
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-0.5099,-2.3354
6,0.5,dropzone,-7.7291,0.7011
6,0.5,W01,-9.7906,8.2212
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-0.5084,-2.3323
7,0.5833,dropzone,-7.7291,0.7011
7,0.5833,W01,-9.7896,8.2172
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-0.5066,-2.3288
8,0.6667,dropzone,-7.7291,0.7011
8,0.6667,W01,-9.7884,8.2127
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-0.5047,-2.3249
9,0.75,dropzone,-7.7291,0.7011
9,0.75,W01,-9.787,8.2076
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-0.5025,-2.3205
10,0.8333,dropzone,-7.7291,0.7011
10,0.8333,W01,-9.7855,8.202
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-0.5002,-2.3157
11,0.9167,dropzone,-7.7291,0.7011
11,0.9167,W01,-9.7839,8.1958
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-0.4976,-2.3105
12,1.0,dropzone,-7.7291,0.7011
12,1.0,W01,-9.7821,8.1891
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-0.4948,-2.3049
13,1.0833,dropzone,-7.7291,0.7011
13,1.0833,W01,-9.7802,8.1819
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-0.4919,-2.2989
14,1.1667,dropzone,-7.7291,0.7011
14,1.1667,W01,-9.7782,8.1742
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-0.4887,-2.2925
15,1.25,dropzone,-7.7291,0.7011
15,1.25,W01,-9.776,8.166
15,1.25,W02,-10.4345,9.7651
