frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-10.8054,7.5672,-10.8054,7.5672,0.0432,-2.3273,0.0432,-2.3273,0.0578,-1.3274,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,14.6831,14.04,9.5488,0.0,0.0,0,SAFE,safe,,,14.04
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,0.0432,-2.3273,0.0432,-2.3273,0.0578,-1.3274,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,16.0696,15.339,11.5588,0.0,0.0,0,SAFE,safe,,,15.339
1,0.0833,0,W01,-10.805,7.5671,-10.805,7.5671,0.0432,-2.327,0.0432,-2.327,0.0578,-1.3271,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,14.6825,14.0394,9.5486,0.0,0.0,0,SAFE,safe,,,14.0394
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,0.0432,-2.327,0.0432,-2.327,0.0578,-1.3271,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,16.069,15.3385,11.5585,0.0,0.0,0,SAFE,safe,,,15.3385
2,0.1667,1,W01,-10.8038,7.5668,-10.8038,7.5668,0.0432,-2.326,0.0432,-2.326,0.0578,-1.3261,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,14.6809,14.0378,9.5479,0.0,0.0,0,SAFE,safe,,,14.0378
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,0.0432,-2.326,0.0432,-2.326,0.0578,-1.3261,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,16.0673,15.3368,11.5578,0.0,0.0,0,SAFE,safe,,,15.3368
3,0.25,0,W01,-10.8019,7.5664,-10.8019,7.5664,0.0433,-2.3245,0.0433,-2.3245,0.0578,-1.3246,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,14.6781,14.0351,9.5468,0.0,0.0,0,SAFE,safe,,,14.0351
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,0.0433,-2.3245,0.0433,-2.3245,0.0578,-1.3246,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,16.0645,15.334,11.5565,0.0,0.0,0,SAFE,safe,,,15.334
4,0.3333,1,W01,-10.7992,7.5659,-10.7992,7.5659,0.0433,-2.3223,0.0433,-2.3223,0.0578,-1.3224,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,14.6743,14.0313,9.5453,0.0,0.0,0,SAFE,safe,,,14.0313
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,0.0433,-2.3223,0.0433,-2.3223,0.0578,-1.3224,-7.2264,-1.2855,-7.2264,-1.2855,0.0,0,0.0,0,16.0606,15.3301,11.5548,0.0,0.0,0,SAFE,safe,,,15.3301
