frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-9.773,6.1455,-9.773,6.1455,-3.271,0.8889,-3.271,0.8889,-4.0586,1.505,-9.0758,3.3984,-9.0758,3.3984,0.0,0,0.0,0,8.3611,7.3612,2.8342,0.0,0.0,0,SAFE,safe,,,7.3612
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-3.271,0.8889,-3.271,0.8889,-4.0586,1.505,-9.0758,3.3984,-9.0758,3.3984,0.0,0,0.0,0,11.4746,10.5023,6.5581,0.0,0.0,0,SAFE,safe,,,10.5023
1,0.0833,0,W01,-9.7724,6.145,-9.7724,6.145,-3.2718,0.8895,-3.2718,0.8895,-4.0594,1.5057,-9.0755,3.3985,-9.0755,3.3985,0.0,0,0.0,0,8.3593,7.3595,2.8335,0.0,0.0,0,SAFE,safe,,,7.3595
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-3.2718,0.8895,-3.2718,0.8895,-4.0594,1.5057,-9.0755,3.3985,-9.0755,3.3985,0.0,0,0.0,0,11.4733,10.501,6.5578,0.0,0.0,0,SAFE,safe,,,10.501
2,0.1667,1,W01,-9.7707,6.1436,-9.7707,6.1436,-3.2742,0.8914,-3.2742,0.8914,-4.0618,1.5076,-9.0747,3.3989,-9.0747,3.3989,0.0,0,0.0,0,8.3541,7.3542,2.8315,0.0,0.0,0,SAFE,safe,,,7.3542
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-3.2742,0.8914,-3.2742,0.8914,-4.0618,1.5076,-9.0747,3.3989,-9.0747,3.3989,0.0,0,0.0,0,11.4693,10.497,6.5569,0.0,0.0,0,SAFE,safe,,,10.497
3,0.25,0,W01,-9.768,6.1413,-9.768,6.1413,-3.2782,0.8945,-3.2782,0.8945,-4.0658,1.5107,-9.0732,3.3997,-9.0732,3.3997,0.0,0,0.0,0,8.3454,7.3456,2.8282,0.0,0.0,0,SAFE,safe,,,7.3456
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-3.2782,0.8945,-3.2782,0.8945,-4.0658,1.5107,-9.0732,3.3997,-9.0732,3.3997,0.0,0,0.0,0,11.4628,10.4905,6.5554,0.0,0.0,0,SAFE,safe,,,10.4905
4,0.3333,1,W01,-9.7641,6.138,-9.7641,6.138,-3.2837,0.8988,-3.2837,0.8988,-4.0712,1.515,-9.0712,3.4006,-9.0712,3.4006,0.0,0,0.0,0,8.3334,7.3335,2.8237,0.0,0.0,0,SAFE,safe,,,7.3335
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-3.2837,0.8988,-3.2837,0.8988,-4.0712,1.515,-9.0712,3.4006,-9.0712,3.4006,0.0,0,0.0,0,11.4538,10.4815,6.5533,0.0,0.0,0,SAFE,safe,,,10.4815
5,0.4167,0,W01,-9.7592,6.1338,-9.7592,6.1338,-3.2907,0.9042,-3.2907,0.9042,-4.0783,1.5205,-9.0687,3.4019,-9.0687,3.4019,0.0,0,0.0,0,8.3181,7.3182,2.8179,0.0,0.0,0,SAFE,safe,,,7.3182
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-3.2907,0.9042,-3.2907,0.9042,-4.0783,1.5205,-9.0687,3.4019,-9.0687,3.4019,0.0,0,0.0,0,11.4422,10.4701,6.5506,0.0,0.0,0,SAFE,safe,,,10.4701
6,0.5,1,W01,-9.7532,6.1288,-9.7532,6.1288,-3.2992,0.9109,-3.2992,0.9109,-4.0867,1.5271,-9.0656,3.4034,-9.0656,3.4034,0.0,0,0.0,0,8.2995,7.2996,2.8108,0.0,0.0,0,SAFE,safe,,,7.2996
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-3.2992,0.9109,-3.2992,0.9109,-4.0867,1.5271,-9.0656,3.4034,-9.0656,3.4034,0.0,0,0.0,0,11.4282,10.4561,6.5473,0.0,0.0,0,SAFE,safe,,,10.4561
7,0.5833,0,W01,-9.7463,6.1229,-9.7463,6.1229,-3.3091,0.9187,-3.3091,0.9187,-4.0967,1.5349,-9.062,3.4052,-9.062,3.4052,0.0,0,0.0,0,8.2777,7.2778,2.8025,0.0,0.0,0,SAFE,safe,,,7.2778
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-3.3091,0.9187,-3.3091,0.9187,-4.0967,1.5349,-9.062,3.4052,-9.062,3.4052,0.0,0,0.0,0,11.4118,10.4399,6.5435,0.0,0.0,0,SAFE,safe,,,10.4399
8,0.6667,1,W01,-9.7383,6.1161,-9.7383,6.1161,-3.3205,0.9276,-3.3205,0.9276,-4.1081,1.5438,-9.0579,3.4072,-9.0579,3.4072,0.0,0,0.0,0,8.2528,7.253,2.7931,0.0,0.5,0,SAFE,safe,,,7.253
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-3.3205,0.9276,-3.3205,0.9276,-4.1081,1.5438,-9.0579,3.4072,-9.0579,3.4072,0.0,0,0.0,0,11.3931,10.4212,6.5391,0.0,0.0,0,SAFE,safe,,,10.4212
9,0.75,0,W01,-9.7293,6.1086,-9.7293,6.1086,-3.3333,0.9376,-3.3333,0.9376,-4.1208,1.5538,-9.0533,3.4095,-9.0533,3.4095,0.0,0,0.0,0,8.2249,7.225,2.7825,0.0,0.5,0,SAFE,safe,,,7.225
