frame,time_s,object,world_x,world_y
0,0.0,forklift,-3.0176,1.3874
0,0.0,dropzone,-8.8489,3.7848
0,0.0,W01,-9.2442,6.6096
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-3.0184,1.388
1,0.0833,dropzone,-8.8486,3.7849
1,0.0833,W01,-9.2437,6.6092
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-3.0208,1.3899
2,0.1667,dropzone,-8.8478,3.7854
2,0.1667,W01,-9.2422,6.6077
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-3.0248,1.3929
3,0.25,dropzone,-8.8464,3.7862
3,0.25,W01,-9.2398,6.6054
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-3.0304,1.3972
4,0.3333,dropzone,-8.8445,3.7873
4,0.3333,W01,-9.2364,6.6021
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-3.0376,1.4026
5,0.4167,dropzone,-8.842,3.7887
5,0.4167,W01,-9.2321,6.5979
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-3.0462,1.4092
6,0.5,dropzone,-8.839,3.7903
6,0.5,W01,-9.227,6.5929
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-3.0564,1.4168
7,0.5833,dropzone,-8.8355,3.7923
7,0.5833,W01,-9.2209,6.587
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-3.068,1.4256
8,0.6667,dropzone,-8.8316,3.7945
8,0.6667,W01,-9.2139,6.5802
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-3.081,1.4355
9,0.75,dropzone,-8.8271,3.7971
9,0.75,W01,-9.2061,6.5726
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-3.0954,1.4464
10,0.8333,dropzone,-8.8221,3.7998
10,0.8333,W01,-9.1975,6.5642
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-3.1112,1.4584
11,0.9167,dropzone,-8.8167,3.8029
11,0.9167,W01,-9.188,6.555
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-3.1283,1.4714
12,1.0,dropzone,-8.8108,3.8062
12,1.0,W01,-9.1777,6.545
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-3.1468,1.4854
13,1.0833,dropzone,-8.8044,3.8098
13,1.0833,W01,-9.1667,6.5342
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-3.1665,1.5003
14,1.1667,dropzone,-8.7977,3.8136
14,1.1667,W01,-9.1548,6.5227
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-3.1875,1.5162
15,1.25,dropzone,-8.7904,3.8177
15,1.25,W01,-9.1422,6.5104
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-3.2097,1.5331
16,1.3333,dropzone,-8.7828,3.822
16,1.3333,W01,-9.1289,6.4975
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-3.2332,1.5508
17,1.4167,dropzone,-8.7747,3.8265
17,1.4167,W01,-9.1148,6.4838
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-3.2578,1.5695
18,1.5,dropzone,-8.7662,3.8313
18,1.5,W01,-9.1001,6.4694
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,-3.2835,1.589
19,1.5833,dropzone,-8.7574,3.8362
19,1.5833,W01,-9.0846,6.4544
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,-3.3104,1.6094
20,1.6667,dropzone,-8.7481,3.8414
20,1.6667,W01,-9.0685,6.4387
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,-3.3384,1.6306
21,1.75,dropzone,-8.7385,3.8469
21,1.75,W01,-9.0517,6.4224
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,-3.3674,1.6526
22,1.8333,dropzone,-8.7285,3.8525
22,1.8333,W01,-9.0343,6.4054
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,-3.3975,1.6754
23,1.9167,dropzone,-8.7182,3.8583
23,1.9167,W01,-9.0163,6.3878
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,-3.4286,1.699
24,2.0,dropzone,-8.7075,3.8643
24,2.0,W01,-8.9976,6.3697
24,2.0,W02,-10.3416,9.7155
25,2.0833,forklift,-3.4607,1.7233
25,2.0833,dropzone,-8.6964,3.8705
25,2.0833,W01,-8.9784,6.351
25,2.0833,W02,-10.3292,9.7089
26,2.1667,forklift,-3.4938,1.7484
26,2.1667,dropzone,-8.685,3.8769
26,2.1667,W01,-8.9585,6.3317
26,2.1667,W02,-10.3165,9.7021
27,2.25,forklift,-3.5277,1.7741
27,2.25,dropzone,-8.6734,3.8835
27,2.25,W01,-8.9382,6.3118
27,2.25,W02,-10.3034,9.6951
28,2.3333,forklift,-3.5626,1.8006
28,2.3333,dropzone,-8.6614,3.8902
28,2.3333,W01,-8.9173,6.2915
28,2.3333,W02,-10.2899,9.688
29,2.4167,forklift,-3.5983,1.8277
29,2.4167,dropzone,-8.6491,3.8971
29,2.4167,W01,-8.8958,6.2706
29,2.4167,W02,-10.2762,9.6806
30,2.5,forklift,-3.6349,1.8554
30,2.5,dropzone,-8.6365,3.9042
30,2.5,W01,-8.8739,6.2493
30,2.5,W02,-10.2621,9.6731
31,2.5833,forklift,-3.6723,1.8838
31,2.5833,dropzone,-8.6236,3.9115
31,2.5833,W01,-8.8514,6.2274
31,2.5833,W02,-10.2477,9.6654
32,2.6667,forklift,-3.7105,1.9127
32,2.6667,dropzone,-8.6105,3.9188
32,2.6667,W01,-8.8285,6.2051
32,2.6667,W02,-10.2329,9.6576
33,2.75,forklift,-3.7495,1.9422
33,2.75,dropzone,-8.5971,3.9264
33,2.75,W01,-8.8052,6.1824
33,2.75,W02,-10.2179,9.6496
34,2.8333,forklift,-3.7892,1.9723
34,2.8333,dropzone,-8.5834,3.9341
34,2.8333,W01,-8.7814,6.1592
34,2.8333,W02,-10.2026,9.6414
35,2.9167,forklift,-3.8296,2.0029
35,2.9167,dropzone,-8.5695,3.9419
35,2.9167,W01,-8.7571,6.1356
35,2.9167,W02,-10.1871,9.6331
36,3.0,forklift,-3.8706,2.0341
36,3.0,dropzone,-8.5554,3.9498
36,3.0,W01,-8.7325,6.1117
36,3.0,W02,-10.1712,9.6247
37,3.0833,forklift,-3.9124,2.0657
37,3.0833,dropzone,-8.541,3.9579
37,3.0833,W01,-8.7075,6.0873
37,3.0833,W02,-10.1551,9.6161
38,3.1667,forklift,-3.9547,2.0978
38,3.1667,dropzone,-8.5264,3.9661
38,3.1667,W01,-8.6821,6.0626
38,3.1667,W02,-10.1388,9.6074
39,3.25,forklift,-3.9977,2.1304
39,3.25,dropzone,-8.5117,3.9744
39,3.25,W01,-8.6563,6.0375
39,3.25,W02,-10.1223,9.5985
40,3.3333,forklift,-4.0412,2.1634
40,3.3333,dropzone,-8.4967,3.9828
40,3.3333,W01,-8.6302,6.0121
40,3.3333,W02,-10.1055,9.5896
41,3.4167,forklift,-4.0852,2.1968
41,3.4167,dropzone,-8.4815,3.9913
41,3.4167,W01,-8.6038,5.9864
41,3.4167,W02,-10.0885,9.5805
42,3.5,forklift,-4.1298,2.2305
42,3.5,dropzone,-8.4662,4.0
42,3.5,W01,-8.577,5.9604
42,3.5,W02,-10.0713,9.5714
43,3.5833,forklift,-4.1749,2.2647
43,3.5833,dropzone,-8.4507,4.0087
43,3.5833,W01,-8.55,5.9341
43,3.5833,W02,-10.054,9.5621
44,3.6667,forklift,-4.2204,2.2992
44,3.6667,dropzone,-8.435,4.0175
44,3.6667,W01,-8.5227,5.9075
44,3.6667,W02,-10.0364,9.5528
45,3.75,forklift,-4.2663,2.334
45,3.75,dropzone,-8.4192,4.0264
45,3.75,W01,-8.4952,5.8807
45,3.75,W02,-10.0187,9.5433
46,3.8333,forklift,-4.3127,2.3691
46,3.8333,dropzone,-8.4033,4.0353
46,3.8333,W01,-8.4674,5.8537
46,3.8333,W02,-10.0009,9.5338
47,3.9167,forklift,-4.3594,2.4046
47,3.9167,dropzone,-8.3872,4.0444
47,3.9167,W01,-8.4393,5.8264
47,3.9167,W02,-9.9829,9.5242
48,4.0,forklift,-4.4065,2.4402
48,4.0,dropzone,-8.371,4.0535
48,4.0,W01,-8.4111,5.7989
48,4.0,W02,-9.9647,9.5145
49,4.0833,forklift,-4.4538,2.4761
49,4.0833,dropzone,-8.3547,4.0626
49,4.0833,W01,-8.3827,5.7713
49,4.0833,W02,-9.9465,9.5048
50,4.1667,forklift,-4.5015,2.5123
50,4.1667,dropzone,-8.3383,4.0719
50,4.1667,W01,-8.3541,5.7434
50,4.1667,W02,-9.9281,9.495
51,4.25,forklift,-4.5494,2.5486
51,4.25,dropzone,-8.3218,4.0811
51,4.25,W01,-8.3253,5.7155
51,4.25,W02,-9.9096,9.4851
52,4.3333,forklift,-4.5976,2.5851
52,4.3333,dropzone,-8.3052,4.0905
52,4.3333,W01,-8.2965,5.6873
52,4.3333,W02,-9.8911,9.4752
53,4.4167,forklift,-4.646,2.6218
53,4.4167,dropzone,-8.2886,4.0998
53,4.4167,W01,-8.2674,5.6591
53,4.4167,W02,-9.8724,9.4653
54,4.5,forklift,-4.6946,2.6586
54,4.5,dropzone,-8.2719,4.1092
54,4.5,W01,-8.2383,5.6307
54,4.5,W02,-9.8537,9.4553
55,4.5833,forklift,-4.7433,2.6955
55,4.5833,dropzone,-8.2551,4.1186
55,4.5833,W01,-8.2091,5.6023
55,4.5833,W02,-9.8349,9.4453
56,4.6667,forklift,-4.7921,2.7326
56,4.6667,dropzone,-8.2383,4.1281
56,4.6667,W01,-8.1798,5.5738
56,4.6667,W02,-9.8161,9.4353
57,4.75,forklift,-4.841,2.7697
57,4.75,dropzone,-8.2215,4.1376
57,4.75,W01,-8.1504,5.5452
57,4.75,W02,-9.7972,9.4252
58,4.8333,forklift,-4.89,2.8068
58,4.8333,dropzone,-8.2046,4.147
58,4.8333,W01,-8.1211,5.5166
58,4.8333,W02,-9.7784,9.4151
59,4.9167,forklift,-4.9391,2.844
59,4.9167,dropzone,-8.1877,4.1565
59,4.9167,W01,-8.0916,5.488
59,4.9167,W02,-9.7595,9.405
60,5.0,forklift,-4.9882,2.8812
60,5.0,dropzone,-8.1709,4.166
60,5.0,W01,-8.0622,5.4594
60,5.0,W02,-9.7405,9.395
61,5.0833,forklift,-5.0372,2.9184
61,5.0833,dropzone,-8.154,4.1755
61,5.0833,W01,-8.0328,5.4307
61,5.0833,W02,-9.7216,9.3849
62,5.1667,forklift,-5.0862,2.9555
62,5.1667,dropzone,-8.1371,4.185
62,5.1667,W01,-8.0034,5.4021
62,5.1667,W02,-9.7028,9.3748
63,5.25,forklift,-5.1351,2.9926
63,5.25,dropzone,-8.1203,4.1944
63,5.25,W01,-7.9741,5.3736
63,5.25,W02,-9.6839,9.3647
64,5.3333,forklift,-5.184,3.0296
64,5.3333,dropzone,-8.1035,4.2039
64,5.3333,W01,-7.9448,5.3451
64,5.3333,W02,-9.6651,9.3547
65,5.4167,forklift,-5.2327,3.0665
65,5.4167,dropzone,-8.0867,4.2133
65,5.4167,W01,-7.9155,5.3166
65,5.4167,W02,-9.6463,9.3447
66,5.5,forklift,-5.2812,3.1033
66,5.5,dropzone,-8.07,4.2227
66,5.5,W01,-7.8864,5.2883
66,5.5,W02,-9.6276,9.3347
67,5.5833,forklift,-5.3296,3.14
67,5.5833,dropzone,-8.0534,4.2321
67,5.5833,W01,-7.8574,5.26
67,5.5833,W02,-9.6089,9.3248
68,5.6667,forklift,-5.3778,3.1765
68,5.6667,dropzone,-8.0368,4.2414
68,5.6667,W01,-7.8285,5.2319
68,5.6667,W02,-9.5904,9.3149
69,5.75,forklift,-5.4257,3.2129
69,5.75,dropzone,-8.0203,4.2507
