frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.5,-2.2
0,0.0,dropzone,-6.2451,3.362
0,0.0,W01,-7.1312,2.9866
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-0.4999,-2.1997
1,0.0833,dropzone,-6.2456,3.3618
1,0.0833,W01,-7.1312,2.9866
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-0.4997,-2.1988
2,0.1667,dropzone,-6.247,3.3613
2,0.1667,W01,-7.1312,2.9866
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-0.4994,-2.1974
3,0.25,dropzone,-6.2494,3.3604
3,0.25,W01,-7.1312,2.9866
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-0.499,-2.1954
4,0.3333,dropzone,-6.2526,3.3591
4,0.3333,W01,-7.1312,2.9866
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-0.4985,-2.1928
5,0.4167,dropzone,-6.2567,3.3575
5,0.4167,W01,-7.1312,2.9866
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-0.4978,-2.1897
6,0.5,dropzone,-6.2617,3.3555
6,0.5,W01,-7.1312,2.9866
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-0.497,-2.186
7,0.5833,dropzone,-6.2676,3.3533
7,0.5833,W01,-7.1312,2.9866
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-0.4961,-2.1819
8,0.6667,dropzone,-6.2743,3.3507
8,0.6667,W01,-7.1312,2.9866
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-0.4951,-2.1772
9,0.75,dropzone,-6.2818,3.3477
9,0.75,W01,-7.1312,2.9866
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-0.494,-2.172
10,0.8333,dropzone,-6.2902,3.3445
10,0.8333,W01,-7.1312,2.9866
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-0.4928,-2.1663
11,0.9167,dropzone,-6.2993,3.3409
11,0.9167,W01,-7.1312,2.9866
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-0.4915,-2.1602
12,1.0,dropzone,-6.3092,3.3371
12,1.0,W01,-7.1312,2.9866
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-0.49,-2.1535
13,1.0833,dropzone,-6.3199,3.3329
13,1.0833,W01,-7.1312,2.9866
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-0.4885,-2.1464
14,1.1667,dropzone,-6.3313,3.3285
14,1.1667,W01,-7.1312,2.9866
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-0.4869,-2.1389
15,1.25,dropzone,-6.3435,3.3238
