frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5187,3.8146,-4.5187,3.8146,0.0,0,0.0,0,7.7198,7.1781,1.1716,0.0,1.0,1,SAFE,safe,,,7.1781
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.5187,3.8146,-4.5187,3.8146,0.0,0,0.0,0,15.6205,15.0241,8.4618,0.0,0.0,0,SAFE,safe,,,15.0241
1,0.0833,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5193,3.8144,-4.5193,3.8144,0.0,0,0.0,0,7.7196,7.178,1.171,0.0,1.0,1,SAFE,safe,,,7.178
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.5193,3.8144,-4.5193,3.8144,0.0,0,0.0,0,15.62,15.0236,8.4611,0.0,0.0,0,SAFE,safe,,,15.0236
2,0.1667,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.521,3.814,-4.521,3.814,0.0,0,0.0,0,7.7191,7.1775,1.1692,0.0,1.0,1,SAFE,safe,,,7.1775
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.521,3.814,-4.521,3.814,0.0,0,0.0,0,15.6184,15.0221,8.4592,0.0,0.0,0,SAFE,safe,,,15.0221
3,0.25,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.5238,3.8132,-4.5238,3.8132,0.0,0,0.0,0,7.7182,7.1767,1.1663,0.0,1.0,1,SAFE,safe,,,7.1767
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.5238,3.8132,-4.5238,3.8132,0.0,0,0.0,0,15.6159,15.0195,8.4561,0.0,0.0,0,SAFE,safe,,,15.0195
4,0.3333,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5277,3.812,-4.5277,3.812,0.0,0,0.0,0,7.717,7.1758,1.1622,0.0,1.0,1,SAFE,safe,,,7.1758
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.5277,3.812,-4.5277,3.812,0.0,0,0.0,0,15.6124,15.016,8.4518,0.0,0.0,0,SAFE,safe,,,15.016
5,0.4167,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.5327,3.8106,-4.5327,3.8106,0.0,0,0.0,0,7.7155,7.1745,1.1571,0.0,1.0,1,SAFE,safe,,,7.1745
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.5327,3.8106,-4.5327,3.8106,0.0,0,0.0,0,15.6078,15.0116,8.4463,0.0,0.0,0,SAFE,safe,,,15.0116
6,0.5,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.5387,3.8089,-4.5387,3.8089,0.0,0,0.0,0,7.7136,7.1729,1.1508,0.0,1.0,1,SAFE,safe,,,7.1729
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.5387,3.8089,-4.5387,3.8089,0.0,0,0.0,0,15.6024,15.0062,8.4396,0.0,0.0,0,SAFE,safe,,,15.0062
7,0.5833,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.5458,3.8069,-4.5458,3.8069,0.0,0,0.0,0,7.7114,7.1711,1.1434,0.0,1.0,1,SAFE,safe,,,7.1711
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.5458,3.8069,-4.5458,3.8069,0.0,0,0.0,0,15.596,14.9999,8.4318,0.0,0.0,0,SAFE,safe,,,14.9999
8,0.6667,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.5539,3.8046,-4.5539,3.8046,0.0,0,0.0,0,7.7089,7.169,1.135,0.0,1.0,1,SAFE,safe,,,7.169
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.4961,-2.1819,-0.4961,-2.1819,-0.2866,-1.2041,-4.5539,3.8046,-4.5539,3.8046,0.0,0,0.0,0,15.5887,14.9926,8.4229,0.0,0.0,0,SAFE,safe,,,14.9926
9,0.75,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.563,3.802,-4.563,3.802,0.0,0,0.0,0,7.7061,7.1666,1.1255,0.0,1.0,1,SAFE,safe,,,7.1666
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.4951,-2.1772,-0.4951,-2.1772,-0.2856,-1.1994,-4.563,3.802,-4.563,3.802,0.0,0,0.0,0,15.5804,14.9845,8.4129,0.0,0.0,0,SAFE,safe,,,14.9845
10,0.8333,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.494,-2.172,-0.494,-2.172,-0.2845,-1.1942,-4.5731,3.7992,-4.5731,3.7992,0.0,0,0.0,0,7.703,7.164,1.1151,0.0,1.0,1,SAFE,safe,,,7.164
10,0.8333,1,W02,-10.47,9.784,-10.47,9.784,-0.494,-2.172,-0.494,-2.172,-0.2845,-1.1942,-4.5731,3.7992,-4.5731,3.7992,0.0,0,0.0,0,15.5713,14.9755,8.4018,0.0,0.0,0,SAFE,safe,,,14.9755
11,0.9167,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4928,-2.1663,-0.4928,-2.1663,-0.2833,-1.1885,-4.5842,3.7961,-4.5842,3.7961,0.0,0,0.0,0,7.6996,7.1612,1.1036,0.0,1.0,1,SAFE,safe,,,7.1612
11,0.9167,0,W02,-10.4639,9.7808,-10.4639,9.7808,-0.4928,-2.1663,-0.4928,-2.1663,-0.2833,-1.1885,-4.5842,3.7961,-4.5842,3.7961,0.0,0,0.0,0,15.5614,14.9657,8.3898,0.0,0.0,0,SAFE,safe,,,14.9657
12,1.0,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4915,-2.1602,-0.4915,-2.1602,-0.2819,-1.1824,-4.5962,3.7927,-4.5962,3.7927,0.0,0,0.0,0,7.6959,7.1581,1.0912,0.0,1.0,1,SAFE,safe,,,7.1581
12,1.0,1,W02,-10.4573,9.7772,-10.4573,9.7772,-0.4915,-2.1602,-0.4915,-2.1602,-0.2819,-1.1824,-4.5962,3.7927,-4.5962,3.7927,0.0,0,0.0,0,15.5506,14.955,8.3766,0.0,0.0,0,SAFE,safe,,,14.955
13,1.0833,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.49,-2.1535,-0.49,-2.1535,-0.2805,-1.1757,-4.6091,3.789,-4.6091,3.789,0.0,0,0.0,0,7.692,7.1548,1.0778,0.0,1.0,1,SAFE,safe,,,7.1548
13,1.0833,0,W02,-10.4502,9.7734,-10.4502,9.7734,-0.49,-2.1535,-0.49,-2.1535,-0.2805,-1.1757,-4.6091,3.789,-4.6091,3.789,0.0,0,0.0,0,15.5389,14.9435,8.3626,0.0,0.0,0,SAFE,safe,,,14.9435
14,1.1667,1,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4885,-2.1464,-0.4885,-2.1464,-0.279,-1.1686,-4.6229,3.7851,-4.6229,3.7851,0.0,0,0.0,0,7.6877,7.1513,1.0634,0.0,1.0,1,SAFE,safe,,,7.1513
14,1.1667,1,W02,-10.4426,9.7694,-10.4426,9.7694,-0.4885,-2.1464,-0.4885,-2.1464,-0.279,-1.1686,-4.6229,3.7851,-4.6229,3.7851,0.0,0,0.0,0,15.5264,14.9311,8.3475,0.0,0.0,0,SAFE,safe,,,14.9311
15,1.25,0,W01,-5.6584,3.5433,-5.6584,3.5433,-0.4869,-2.1389,-0.4869,-2.1389,-0.2774,-1.1611,-4.6376,3.781,-4.6376,3.781,0.0,0,0.0,0,7.6832,7.1475,1.0482,0.0,1.0,1,SAFE,safe,,,7.1475
