frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.6,-2.2,-0.6,-2.2,-0.4831,-1.2069,-4.9425,3.0707,-4.9425,3.0707,0.0,0,0.0,0,7.9843,7.4342,1.4955,0.0,1.0,1,SAFE,safe,,,7.4342
0,0.0,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.6,-2.2,-0.6,-2.2,-0.4831,-1.2069,-4.9425,3.0707,-4.9425,3.0707,0.0,0,0.0,0,9.8208,9.3852,3.7039,0.0,0.0,0,SAFE,safe,,,9.3852
1,0.0833,0,W01,-6.4259,3.2597,-6.4259,3.2597,-0.6,-2.1996,-0.6,-2.1996,-0.4831,-1.2065,-4.9431,3.0707,-4.9431,3.0707,0.0,0,0.0,0,7.9841,7.434,1.4948,0.0,1.0,1,SAFE,safe,,,7.434
1,0.0833,0,W02,-8.6259,3.4597,-8.6259,3.4597,-0.6,-2.1996,-0.6,-2.1996,-0.4831,-1.2065,-4.9431,3.0707,-4.9431,3.0707,0.0,0,0.0,0,9.8206,9.385,3.7033,0.0,0.0,0,SAFE,safe,,,9.385
2,0.1667,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5998,-2.1986,-0.5998,-2.1986,-0.483,-1.2054,-4.945,3.0707,-4.945,3.0707,0.0,0,0.0,0,7.9835,7.4334,1.4929,0.0,1.0,1,SAFE,safe,,,7.4334
2,0.1667,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5998,-2.1986,-0.5998,-2.1986,-0.483,-1.2054,-4.945,3.0707,-4.945,3.0707,0.0,0,0.0,0,9.8201,9.3846,3.7014,0.0,0.0,0,SAFE,safe,,,9.3846
3,0.25,0,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5996,-2.1968,-0.5996,-2.1968,-0.4828,-1.2037,-4.9482,3.0707,-4.9482,3.0707,0.0,0,0.0,0,7.9824,7.4325,1.4898,0.0,1.0,1,SAFE,safe,,,7.4325
3,0.25,0,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5996,-2.1968,-0.5996,-2.1968,-0.4828,-1.2037,-4.9482,3.0707,-4.9482,3.0707,0.0,0,0.0,0,9.8192,9.3839,3.6982,0.0,0.0,0,SAFE,safe,,,9.3839
4,0.3333,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5993,-2.1944,-0.5993,-2.1944,-0.4825,-1.2012,-4.9526,3.0706,-4.9526,3.0706,0.0,0,0.0,0,7.981,7.4313,1.4854,0.0,1.0,1,SAFE,safe,,,7.4313
4,0.3333,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5993,-2.1944,-0.5993,-2.1944,-0.4825,-1.2012,-4.9526,3.0706,-4.9526,3.0706,0.0,0,0.0,0,9.8181,9.3829,3.6939,0.0,0.0,0,SAFE,safe,,,9.3829
5,0.4167,0,W01,-6.4259,3.2597,-6.4259,3.2597,-0.599,-2.1912,-0.599,-2.1912,-0.4821,-1.1981,-4.9582,3.0705,-4.9582,3.0705,0.0,0,0.0,0,7.9791,7.4297,1.4798,0.0,1.0,1,SAFE,safe,,,7.4297
5,0.4167,0,W02,-8.6259,3.4597,-8.6259,3.4597,-0.599,-2.1912,-0.599,-2.1912,-0.4821,-1.1981,-4.9582,3.0705,-4.9582,3.0705,0.0,0,0.0,0,9.8166,9.3817,3.6883,0.0,0.0,0,SAFE,safe,,,9.3817
6,0.5,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5985,-2.1875,-0.5985,-2.1875,-0.4817,-1.1943,-4.9651,3.0705,-4.9651,3.0705,0.0,0,0.0,0,7.9768,7.4278,1.4731,0.0,1.0,1,SAFE,safe,,,7.4278
6,0.5,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5985,-2.1875,-0.5985,-2.1875,-0.4817,-1.1943,-4.9651,3.0705,-4.9651,3.0705,0.0,0,0.0,0,9.8148,9.3802,3.6815,0.0,0.0,0,SAFE,safe,,,9.3802
7,0.5833,0,W01,-6.4259,3.2597,-6.4259,3.2597,-0.598,-2.183,-0.598,-2.183,-0.4812,-1.1899,-4.973,3.0703,-4.973,3.0703,0.0,0,0.0,0,7.9742,7.4255,1.4652,0.0,1.0,1,SAFE,safe,,,7.4255
7,0.5833,0,W02,-8.6259,3.4597,-8.6259,3.4597,-0.598,-2.183,-0.598,-2.183,-0.4812,-1.1899,-4.973,3.0703,-4.973,3.0703,0.0,0,0.0,0,9.8126,9.3785,3.6736,0.0,0.0,0,SAFE,safe,,,9.3785
8,0.6667,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5974,-2.178,-0.5974,-2.178,-0.4806,-1.1848,-4.9822,3.0702,-4.9822,3.0702,0.0,0,0.0,0,7.9712,7.423,1.4561,0.0,1.0,1,SAFE,safe,,,7.423
8,0.6667,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5974,-2.178,-0.5974,-2.178,-0.4806,-1.1848,-4.9822,3.0702,-4.9822,3.0702,0.0,0,0.0,0,9.8102,9.3765,3.6645,0.0,0.0,0,SAFE,safe,,,9.3765
9,0.75,0,W01,-6.4259,3.2597,-6.4259,3.2597,-0.5967,-2.1723,-0.5967,-2.1723,-0.4799,-1.1791,-4.9924,3.0701,-4.9924,3.0701,0.0,0,0.0,0,7.9678,7.4201,1.446,0.0,1.0,1,SAFE,safe,,,7.4201
9,0.75,0,W02,-8.6259,3.4597,-8.6259,3.4597,-0.5967,-2.1723,-0.5967,-2.1723,-0.4799,-1.1791,-4.9924,3.0701,-4.9924,3.0701,0.0,0,0.0,0,9.8075,9.3742,3.6543,0.0,0.0,0,SAFE,safe,,,9.3742
10,0.8333,1,W01,-6.4259,3.2597,-6.4259,3.2597,-0.596,-2.166,-0.596,-2.166,-0.4792,-1.1729,-5.0038,3.0699,-5.0038,3.0699,0.0,0,0.0,0,7.964,7.417,1.4347,0.0,1.0,1,SAFE,safe,,,7.417
10,0.8333,1,W02,-8.6259,3.4597,-8.6259,3.4597,-0.596,-2.166,-0.596,-2.166,-0.4792,-1.1729,-5.0038,3.0699,-5.0038,3.0699,0.0,0,0.0,0,9.8045,9.3718,3.643,0.0,0.0,0,SAFE,safe,,,9.3718
