frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.6,-2.2
0,0.0,dropzone,-5.0535,3.0323
0,0.0,W01,-6.3285,3.2757
0,0.0,W02,-8.5285,3.4757
1,0.0833,forklift,-0.6,-2.1996
1,0.0833,dropzone,-5.0542,3.0323
1,0.0833,W01,-6.3285,3.2757
1,0.0833,W02,-8.5285,3.4757
2,0.1667,forklift,-0.5998,-2.1986
2,0.1667,dropzone,-5.056,3.0323
2,0.1667,W01,-6.3285,3.2757
2,0.1667,W02,-8.5285,3.4757
3,0.25,forklift,-0.5996,-2.1968
3,0.25,dropzone,-5.0591,3.0322
3,0.25,W01,-6.3285,3.2757
3,0.25,W02,-8.5285,3.4757
4,0.3333,forklift,-0.5993,-2.1944
4,0.3333,dropzone,-5.0635,3.0321
4,0.3333,W01,-6.3285,3.2757
4,0.3333,W02,-8.5285,3.4757
5,0.4167,forklift,-0.599,-2.1912
5,0.4167,dropzone,-5.069,3.032
5,0.4167,W01,-6.3285,3.2757
5,0.4167,W02,-8.5285,3.4757
6,0.5,forklift,-0.5985,-2.1875
6,0.5,dropzone,-5.0756,3.0318
6,0.5,W01,-6.3285,3.2757
6,0.5,W02,-8.5285,3.4757
7,0.5833,forklift,-0.598,-2.183
7,0.5833,dropzone,-5.0835,3.0316
7,0.5833,W01,-6.3285,3.2757
7,0.5833,W02,-8.5285,3.4757
8,0.6667,forklift,-0.5974,-2.178
8,0.6667,dropzone,-5.0924,3.0314
8,0.6667,W01,-6.3285,3.2757
8,0.6667,W02,-8.5285,3.4757
9,0.75,forklift,-0.5967,-2.1723
9,0.75,dropzone,-5.1024,3.0312
9,0.75,W01,-6.3285,3.2757
9,0.75,W02,-8.5285,3.4757
10,0.8333,forklift,-0.596,-2.166
10,0.8333,dropzone,-5.1136,3.0309
10,0.8333,W01,-6.3285,3.2757
10,0.8333,W02,-8.5285,3.4757
11,0.9167,forklift,-0.5952,-2.1591
11,0.9167,dropzone,-5.1257,3.0306
