frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-7.9281,4.1265,-7.9281,4.1265,-0.6,-2.2,-0.6,-2.2,-0.4831,-1.2069,-3.8064,3.3103,-3.8064,3.3103,0.0,0,0.0,0,9.6812,9.1582,4.2018,0.0,0.0,0,SAFE,safe,,,9.1582
0,0.0,1,W02,-5.6281,4.0265,-5.6281,4.0265,-0.6,-2.2,-0.6,-2.2,-0.4831,-1.2069,-3.8064,3.3103,-3.8064,3.3103,0.0,0,0.0,0,8.0032,7.3389,1.9575,0.0,1.0,1,SAFE,safe,,,7.3389
1,0.0833,0,W01,-7.9281,4.1265,-7.9281,4.1265,-0.6,-2.1996,-0.6,-2.1996,-0.4831,-1.2065,-3.8077,3.3106,-3.8077,3.3106,0.0,0,0.0,0,9.681,9.158,4.2004,0.0,0.0,0,SAFE,safe,,,9.158
1,0.0833,0,W02,-5.6281,4.0265,-5.6281,4.0265,-0.6,-2.1996,-0.6,-2.1996,-0.4831,-1.2065,-3.8077,3.3106,-3.8077,3.3106,0.0,0,0.0,0,8.003,7.3386,1.9561,0.0,1.0,1,SAFE,safe,,,7.3386
2,0.1667,1,W01,-7.9281,4.1265,-7.9281,4.1265,-0.5998,-2.1986,-0.5998,-2.1986,-0.483,-1.2054,-3.8116,3.3114,-3.8116,3.3114,0.0,0,0.0,0,9.6804,9.1575,4.1964,0.0,0.0,0,SAFE,safe,,,9.1575
2,0.1667,1,W02,-5.6281,4.0265,-5.6281,4.0265,-0.5998,-2.1986,-0.5998,-2.1986,-0.483,-1.2054,-3.8116,3.3114,-3.8116,3.3114,0.0,0,0.0,0,8.0022,7.338,1.9522,0.0,1.0,1,SAFE,safe,,,7.338
3,0.25,0,W01,-7.9281,4.1265,-7.9281,4.1265,-0.5996,-2.1968,-0.5996,-2.1968,-0.4828,-1.2037,-3.8181,3.3126,-3.8181,3.3126,0.0,0,0.0,0,9.6794,9.1566,4.1899,0.0,0.0,0,SAFE,safe,,,9.1566
3,0.25,0,W02,-5.6281,4.0265,-5.6281,4.0265,-0.5996,-2.1968,-0.5996,-2.1968,-0.4828,-1.2037,-3.8181,3.3126,-3.8181,3.3126,0.0,0,0.0,0,8.001,7.3369,1.9458,0.0,1.0,1,SAFE,safe,,,7.3369
4,0.3333,1,W01,-7.9281,4.1265,-7.9281,4.1265,-0.5993,-2.1944,-0.5993,-2.1944,-0.4825,-1.2012,-3.827,3.3144,-3.827,3.3144,0.0,0,0.0,0,9.678,9.1554,4.1807,0.0,0.0,0,SAFE,safe,,,9.1554
4,0.3333,1,W02,-5.6281,4.0265,-5.6281,4.0265,-0.5993,-2.1944,-0.5993,-2.1944,-0.4825,-1.2012,-3.827,3.3144,-3.827,3.3144,0.0,0,0.0,0,7.9993,7.3353,1.9368,0.0,1.0,1,SAFE,safe,,,7.3353
5,0.4167,0,W01,-7.9281,4.1265,-7.9281,4.1265,-0.599,-2.1912,-0.599,-2.1912,-0.4821,-1.1981,-3.8384,3.3167,-3.8384,3.3167,0.0,0,0.0,0,9.6763,9.1539,4.1691,0.0,0.0,0,SAFE,safe,,,9.1539
5,0.4167,0,W02,-5.6281,4.0265,-5.6281,4.0265,-0.599,-2.1912,-0.599,-2.1912,-0.4821,-1.1981,-3.8384,3.3167,-3.8384,3.3167,0.0,0,0.0,0,7.9971,7.3333,1.9253,0.0,1.0,1,SAFE,safe,,,7.3333
6,0.5,1,W01,-7.9281,4.1265,-7.9281,4.1265,-0.5985,-2.1875,-0.5985,-2.1875,-0.4817,-1.1943,-3.8522,3.3194,-3.8522,3.3194,0.0,0,0.0,0,9.6742,9.1521,4.155,0.0,0.0,0,SAFE,safe,,,9.1521
6,0.5,1,W02,-5.6281,4.0265,-5.6281,4.0265,-0.5985,-2.1875,-0.5985,-2.1875,-0.4817,-1.1943,-3.8522,3.3194,-3.8522,3.3194,0.0,0,0.0,0,7.9944,7.331,1.9115,0.0,1.0,1,SAFE,safe,,,7.331
