frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.6,-2.2
0,0.0,dropzone,-4.6952,3.1228
0,0.0,W01,-8.5037,3.9035
0,0.0,W02,-6.2037,3.8035
1,0.0833,forklift,-0.6,-2.1996
1,0.0833,dropzone,-4.6964,3.123
1,0.0833,W01,-8.5037,3.9035
1,0.0833,W02,-6.2037,3.8035
2,0.1667,forklift,-0.5998,-2.1986
2,0.1667,dropzone,-4.7001,3.1239
2,0.1667,W01,-8.5037,3.9035
2,0.1667,W02,-6.2037,3.8035
3,0.25,forklift,-0.5996,-2.1968
3,0.25,dropzone,-4.7062,3.1253
3,0.25,W01,-8.5037,3.9035
3,0.25,W02,-6.2037,3.8035
4,0.3333,forklift,-0.5993,-2.1944
4,0.3333,dropzone,-4.7146,3.1272
4,0.3333,W01,-8.5037,3.9035
4,0.3333,W02,-6.2037,3.8035
5,0.4167,forklift,-0.599,-2.1912
5,0.4167,dropzone,-4.7253,3.1297
5,0.4167,W01,-8.5037,3.9035
5,0.4167,W02,-6.2037,3.8035
6,0.5,forklift,-0.5985,-2.1875
6,0.5,dropzone,-4.7383,3.1326
6,0.5,W01,-8.5037,3.9035
6,0.5,W02,-6.2037,3.8035
7,0.5833,forklift,-0.598,-2.183
7,0.5833,dropzone,-4.7536,3.1361
7,0.5833,W01,-8.5037,3.9035
7,0.5833,W02,-6.2037,3.8035
8,0.6667,forklift,-0.5974,-2.178
8,0.6667,dropzone,-4.771,3.1401
8,0.6667,W01,-8.5037,3.9035
8,0.6667,W02,-6.2037,3.8035
9,0.75,forklift,-0.5967,-2.1723
9,0.75,dropzone,-4.7906,3.1446
9,0.75,W01,-8.5037,3.9035
9,0.75,W02,-6.2037,3.8035
10,0.8333,forklift,-0.596,-2.166
10,0.8333,dropzone,-4.8122,3.1496
10,0.8333,W01,-8.5037,3.9035
10,0.8333,W02,-6.2037,3.8035
11,0.9167,forklift,-0.5952,-2.1591
11,0.9167,dropzone,-4.836,3.155
11,0.9167,W01,-8.5037,3.9035
11,0.9167,W02,-6.2037,3.8035
12,1.0,forklift,-0.5943,-2.1516
12,1.0,dropzone,-4.8618,3.1609
12,1.0,W01,-8.5037,3.9035
12,1.0,W02,-6.2037,3.8035
13,1.0833,forklift,-0.5934,-2.1436
13,1.0833,dropzone,-4.8895,3.1673
13,1.0833,W01,-8.5037,3.9035
13,1.0833,W02,-6.2037,3.8035
14,1.1667,forklift,-0.5923,-2.1349
14,1.1667,dropzone,-4.9192,3.1741
14,1.1667,W01,-8.5037,3.9035
14,1.1667,W02,-6.2037,3.8035
15,1.25,forklift,-0.5913,-2.1258
15,1.25,dropzone,-4.9508,3.1813
15,1.25,W01,-8.5037,3.9035
15,1.25,W02,-6.2037,3.8035
16,1.3333,forklift,-0.5901,-2.1161
16,1.3333,dropzone,-4.9842,3.189
16,1.3333,W01,-8.5037,3.9035
16,1.3333,W02,-6.2037,3.8035
17,1.4167,forklift,-0.5889,-2.1058
17,1.4167,dropzone,-5.0194,3.197
17,1.4167,W01,-8.5037,3.9035
17,1.4167,W02,-6.2037,3.8035
18,1.5,forklift,-0.5877,-2.0951
18,1.5,dropzone,-5.0564,3.2055
18,1.5,W01,-8.5037,3.9035
18,1.5,W02,-6.2037,3.8035
19,1.5833,forklift,-0.5863,-2.0838
19,1.5833,dropzone,-5.0952,3.2144
19,1.5833,W01,-8.5037,3.9035
19,1.5833,W02,-6.2037,3.8035
20,1.6667,forklift,-0.585,-2.0721
20,1.6667,dropzone,-5.1356,3.2237
20,1.6667,W01,-8.5037,3.9035
20,1.6667,W02,-6.2037,3.8035
21,1.75,forklift,-0.5835,-2.0599
21,1.75,dropzone,-5.1777,3.2333
21,1.75,W01,-8.5037,3.9035
21,1.75,W02,-6.2037,3.8035
22,1.8333,forklift,-0.582,-2.0472
22,1.8333,dropzone,-5.2214,3.2433
22,1.8333,W01,-8.5037,3.9035
22,1.8333,W02,-6.2037,3.8035
23,1.9167,forklift,-0.5805,-2.034
23,1.9167,dropzone,-5.2666,3.2537
23,1.9167,W01,-8.5037,3.9035
23,1.9167,W02,-6.2037,3.8035
24,2.0,forklift,-0.5789,-2.0204
24,2.0,dropzone,-5.3134,3.2644
24,2.0,W01,-8.5037,3.9035
24,2.0,W02,-6.2037,3.8035
25,2.0833,forklift,-0.5772,-2.0064
25,2.0833,dropzone,-5.3617,3.2754
25,2.0833,W01,-8.5037,3.9035
25,2.0833,W02,-6.2037,3.8035
26,2.1667,forklift,-0.5755,-1.992
26,2.1667,dropzone,-5.4113,3.2868
26,2.1667,W01,-8.5037,3.9035
26,2.1667,W02,-6.2037,3.8035
27,2.25,forklift,-0.5738,-1.9772
27,2.25,dropzone,-5.4624,3.2985
27,2.25,W01,-8.5037,3.9035
27,2.25,W02,-6.2037,3.8035
28,2.3333,forklift,-0.572,-1.9619
28,2.3333,dropzone,-5.5149,3.3105
28,2.3333,W01,-8.5037,3.9035
28,2.3333,W02,-6.2037,3.8035
29,2.4167,forklift,-0.5702,-1.9463
29,2.4167,dropzone,-5.5686,3.3229
29,2.4167,W01,-8.5037,3.9035
29,2.4167,W02,-6.2037,3.8035
30,2.5,forklift,-0.5683,-1.9303
30,2.5,dropzone,-5.6236,3.3355
30,2.5,W01,-8.5037,3.9035
30,2.5,W02,-6.2037,3.8035
31,2.5833,forklift,-0.5664,-1.914
31,2.5833,dropzone,-5.6799,3.3484
31,2.5833,W01,-8.5037,3.9035
31,2.5833,W02,-6.2037,3.8035
32,2.6667,forklift,-0.5644,-1.8973
32,2.6667,dropzone,-5.7373,3.3615
32,2.6667,W01,-8.5037,3.9035
32,2.6667,W02,-6.2037,3.8035
33,2.75,forklift,-0.5624,-1.8803
33,2.75,dropzone,-5.7959,3.3749
33,2.75,W01,-8.5037,3.9035
33,2.75,W02,-6.2037,3.8035
34,2.8333,forklift,-0.5603,-1.863
34,2.8333,dropzone,-5.8556,3.3886
34,2.8333,W01,-8.5037,3.9035
34,2.8333,W02,-6.2037,3.8035
35,2.9167,forklift,-0.5583,-1.8453
35,2.9167,dropzone,-5.9164,3.4025
