frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-5.2302,2.6854,-5.2302,2.6854,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.2904,3.3302,-4.2904,3.3302,0.0,0,0.0,0,6.8001,6.2985,1.1398,0.0,1.0,1,SAFE,safe,,,6.2985
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.5,-2.2,-0.5,-2.2,-0.2904,-1.2222,-4.2904,3.3302,-4.2904,3.3302,0.0,0,0.0,0,15.6205,15.0241,8.9676,0.0,0.0,0,SAFE,safe,,,15.0241
1,0.0833,0,W01,-5.2302,2.6854,-5.2302,2.6854,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.2911,3.33,-4.2911,3.33,0.0,0,0.0,0,6.8,6.2983,1.1391,0.0,1.0,1,SAFE,safe,,,6.2983
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.4999,-2.1997,-0.4999,-2.1997,-0.2904,-1.2219,-4.2911,3.33,-4.2911,3.33,0.0,0,0.0,0,15.62,15.0236,8.9669,0.0,0.0,0,SAFE,safe,,,15.0236
2,0.1667,1,W01,-5.2302,2.6854,-5.2302,2.6854,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.2932,3.3295,-4.2932,3.3295,0.0,0,0.0,0,6.7995,6.2979,1.137,0.0,1.0,1,SAFE,safe,,,6.2979
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.4997,-2.1988,-0.4997,-2.1988,-0.2902,-1.221,-4.2932,3.3295,-4.2932,3.3295,0.0,0,0.0,0,15.6184,15.0221,8.9648,0.0,0.0,0,SAFE,safe,,,15.0221
3,0.25,0,W01,-5.2302,2.6854,-5.2302,2.6854,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.2966,3.3286,-4.2966,3.3286,0.0,0,0.0,0,6.7987,6.2972,1.1337,0.0,1.0,1,SAFE,safe,,,6.2972
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.4994,-2.1974,-0.4994,-2.1974,-0.2899,-1.2196,-4.2966,3.3286,-4.2966,3.3286,0.0,0,0.0,0,15.6159,15.0195,8.9614,0.0,0.0,0,SAFE,safe,,,15.0195
4,0.3333,1,W01,-5.2302,2.6854,-5.2302,2.6854,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.3014,3.3273,-4.3014,3.3273,0.0,0,0.0,0,6.7975,6.2963,1.129,0.0,1.0,1,SAFE,safe,,,6.2963
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.499,-2.1954,-0.499,-2.1954,-0.2895,-1.2176,-4.3014,3.3273,-4.3014,3.3273,0.0,0,0.0,0,15.6124,15.016,8.9567,0.0,0.0,0,SAFE,safe,,,15.016
5,0.4167,0,W01,-5.2302,2.6854,-5.2302,2.6854,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.3075,3.3257,-4.3075,3.3257,0.0,0,0.0,0,6.796,6.2952,1.1231,0.0,1.0,1,SAFE,safe,,,6.2952
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.4985,-2.1928,-0.4985,-2.1928,-0.2889,-1.215,-4.3075,3.3257,-4.3075,3.3257,0.0,0,0.0,0,15.6078,15.0116,8.9506,0.0,0.0,0,SAFE,safe,,,15.0116
6,0.5,1,W01,-5.2302,2.6854,-5.2302,2.6854,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.3149,3.3238,-4.3149,3.3238,0.0,0,0.0,0,6.7943,6.2938,1.1159,0.0,1.0,1,SAFE,safe,,,6.2938
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.4978,-2.1897,-0.4978,-2.1897,-0.2882,-1.2119,-4.3149,3.3238,-4.3149,3.3238,0.0,0,0.0,0,15.6024,15.0062,8.9433,0.0,0.0,0,SAFE,safe,,,15.0062
7,0.5833,0,W01,-5.2302,2.6854,-5.2302,2.6854,-0.497,-2.186,-0.497,-2.186,-0.2875,-1.2082,-4.3236,3.3215,-4.3236,3.3215,0.0,0,0.0,0,6.7922,6.2921,1.1075,0.0,1.0,1,SAFE,safe,,,6.2921
