frame,time_s,object,world_x,world_y
0,0.0,forklift,-2.021,0.5942
0,0.0,dropzone,-7.7574,2.1547
0,0.0,W01,-9.3519,6.4741
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-2.0218,0.5949
1,0.0833,dropzone,-7.7574,2.1547
1,0.0833,W01,-9.3512,6.4736
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-2.0243,0.5971
2,0.1667,dropzone,-7.7574,2.1547
2,0.1667,W01,-9.349,6.4721
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-2.0283,0.6007
3,0.25,dropzone,-7.7574,2.1547
3,0.25,W01,-9.3455,6.4695
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-2.034,0.6056
4,0.3333,dropzone,-7.7574,2.1547
4,0.3333,W01,-9.3406,6.466
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-2.0412,0.612
5,0.4167,dropzone,-7.7574,2.1547
5,0.4167,W01,-9.3344,6.4616
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-2.0499,0.6196
6,0.5,dropzone,-7.7574,2.1547
6,0.5,W01,-9.3268,6.4562
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-2.0602,0.6286
7,0.5833,dropzone,-7.7574,2.1547
7,0.5833,W01,-9.318,6.4498
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-2.0718,0.6388
8,0.6667,dropzone,-7.7574,2.1547
8,0.6667,W01,-9.3078,6.4426
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-2.085,0.6504
9,0.75,dropzone,-7.7574,2.1547
9,0.75,W01,-9.2965,6.4344
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-2.0995,0.6631
10,0.8333,dropzone,-7.7574,2.1547
10,0.8333,W01,-9.2839,6.4254
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-2.1155,0.6771
11,0.9167,dropzone,-7.7574,2.1547
11,0.9167,W01,-9.2701,6.4155
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-2.1328,0.6923
12,1.0,dropzone,-7.7574,2.1547
12,1.0,W01,-9.2551,6.4048
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-2.1514,0.7086
13,1.0833,dropzone,-7.7574,2.1547
13,1.0833,W01,-9.239,6.3933
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-2.1713,0.7261
14,1.1667,dropzone,-7.7574,2.1547
14,1.1667,W01,-9.2217,6.3809
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-2.1925,0.7447
15,1.25,dropzone,-7.7574,2.1547
15,1.25,W01,-9.2034,6.3678
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-2.215,0.7643
16,1.3333,dropzone,-7.7574,2.1547
16,1.3333,W01,-9.1839,6.3539
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-2.2386,0.7851
17,1.4167,dropzone,-7.7574,2.1547
17,1.4167,W01,-9.1634,6.3393
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-2.2635,0.8069
18,1.5,dropzone,-7.7574,2.1547
18,1.5,W01,-9.1419,6.3239
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,-2.2895,0.8297
19,1.5833,dropzone,-7.7574,2.1547
19,1.5833,W01,-9.1194,6.3077
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,-2.3166,0.8535
20,1.6667,dropzone,-7.7574,2.1547
20,1.6667,W01,-9.0959,6.2909
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,-2.3449,0.8782
21,1.75,dropzone,-7.7574,2.1547
21,1.75,W01,-9.0715,6.2734
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,-2.3742,0.904
22,1.8333,dropzone,-7.7574,2.1547
22,1.8333,W01,-9.0461,6.2553
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,-2.4046,0.9306
23,1.9167,dropzone,-7.7574,2.1547
23,1.9167,W01,-9.0198,6.2364
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,-2.436,0.9581
24,2.0,dropzone,-7.7574,2.1547
24,2.0,W01,-8.9926,6.217
24,2.0,W02,-10.3416,9.7155
25,2.0833,forklift,-2.4683,0.9865
25,2.0833,dropzone,-7.7574,2.1547
25,2.0833,W01,-8.9645,6.1969
25,2.0833,W02,-10.3292,9.7089
26,2.1667,forklift,-2.5017,1.0158
26,2.1667,dropzone,-7.7574,2.1547
26,2.1667,W01,-8.9357,6.1763
26,2.1667,W02,-10.3165,9.7021
27,2.25,forklift,-2.536,1.0459
27,2.25,dropzone,-7.7574,2.1547
27,2.25,W01,-8.906,6.155
27,2.25,W02,-10.3034,9.6951
28,2.3333,forklift,-2.5712,1.0767
28,2.3333,dropzone,-7.7574,2.1547
28,2.3333,W01,-8.8755,6.1332
28,2.3333,W02,-10.2899,9.688
29,2.4167,forklift,-2.6073,1.1084
29,2.4167,dropzone,-7.7574,2.1547
29,2.4167,W01,-8.8443,6.1108
29,2.4167,W02,-10.2762,9.6806
30,2.5,forklift,-2.6442,1.1408
30,2.5,dropzone,-7.7574,2.1547
30,2.5,W01,-8.8123,6.088
30,2.5,W02,-10.2621,9.6731
31,2.5833,forklift,-2.682,1.1739
31,2.5833,dropzone,-7.7574,2.1547
31,2.5833,W01,-8.7796,6.0646
31,2.5833,W02,-10.2477,9.6654
32,2.6667,forklift,-2.7205,1.2077
32,2.6667,dropzone,-7.7574,2.1547
32,2.6667,W01,-8.7462,6.0407
32,2.6667,W02,-10.2329,9.6576
33,2.75,forklift,-2.7598,1.2422
33,2.75,dropzone,-7.7574,2.1547
33,2.75,W01,-8.7122,6.0163
33,2.75,W02,-10.2179,9.6496
34,2.8333,forklift,-2.7999,1.2773
34,2.8333,dropzone,-7.7574,2.1547
34,2.8333,W01,-8.6775,5.9915
34,2.8333,W02,-10.2026,9.6414
35,2.9167,forklift,-2.8407,1.3131
35,2.9167,dropzone,-7.7574,2.1547
35,2.9167,W01,-8.6422,5.9662
35,2.9167,W02,-10.1871,9.6331
36,3.0,forklift,-2.8822,1.3494
36,3.0,dropzone,-7.7574,2.1547
36,3.0,W01,-8.6063,5.9405
36,3.0,W02,-10.1712,9.6247
37,3.0833,forklift,-2.9243,1.3864
37,3.0833,dropzone,-7.7574,2.1547
37,3.0833,W01,-8.5698,5.9144
37,3.0833,W02,-10.1551,9.6161
38,3.1667,forklift,-2.967,1.4239
38,3.1667,dropzone,-7.7574,2.1547
38,3.1667,W01,-8.5328,5.8879
38,3.1667,W02,-10.1388,9.6074
39,3.25,forklift,-3.0104,1.4619
39,3.25,dropzone,-7.7574,2.1547
39,3.25,W01,-8.4952,5.8611
39,3.25,W02,-10.1223,9.5985
40,3.3333,forklift,-3.0543,1.5004
40,3.3333,dropzone,-7.7574,2.1547
40,3.3333,W01,-8.4572,5.8339
40,3.3333,W02,-10.1055,9.5896
41,3.4167,forklift,-3.0988,1.5394
41,3.4167,dropzone,-7.7574,2.1547
41,3.4167,W01,-8.4187,5.8063
41,3.4167,W02,-10.0885,9.5805
42,3.5,forklift,-3.1438,1.5789
42,3.5,dropzone,-7.7574,2.1547
42,3.5,W01,-8.3797,5.7784
42,3.5,W02,-10.0713,9.5714
43,3.5833,forklift,-3.1893,1.6187
43,3.5833,dropzone,-7.7574,2.1547
43,3.5833,W01,-8.3404,5.7503
43,3.5833,W02,-10.054,9.5621
44,3.6667,forklift,-3.2352,1.659
44,3.6667,dropzone,-7.7574,2.1547
44,3.6667,W01,-8.3006,5.7218
44,3.6667,W02,-10.0364,9.5528
45,3.75,forklift,-3.2816,1.6997
45,3.75,dropzone,-7.7574,2.1547
45,3.75,W01,-8.2604,5.6931
45,3.75,W02,-10.0187,9.5433
46,3.8333,forklift,-3.3284,1.7407
46,3.8333,dropzone,-7.7574,2.1547
46,3.8333,W01,-8.2199,5.6641
46,3.8333,W02,-10.0009,9.5338
