frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-8.2414,8.2515,-8.2414,8.2515,-0.3529,1.3472,-0.3529,1.3472,-1.0535,2.0607,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.4833,9.4864,7.5835,0.0,0.0,0,SAFE,safe,,,9.4864
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.3529,1.3472,-0.3529,1.3472,-1.0535,2.0607,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.2066,12.212,9.7681,0.0,0.0,0,SAFE,safe,,,12.212
1,0.0833,0,W01,-8.2407,8.251,-8.2407,8.251,-0.3538,1.3481,-0.3538,1.3481,-1.0544,2.0617,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.481,9.4842,7.5828,0.0,0.0,0,SAFE,safe,,,9.4842
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.3538,1.3481,-0.3538,1.3481,-1.0544,2.0617,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.2049,12.2103,9.7678,0.0,0.0,0,SAFE,safe,,,12.2103
2,0.1667,1,W01,-8.2385,8.2496,-8.2385,8.2496,-0.3566,1.351,-0.3566,1.351,-1.0572,2.0646,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.4745,9.4776,7.581,0.0,0.0,0,SAFE,safe,,,9.4776
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.3566,1.351,-0.3566,1.351,-1.0572,2.0646,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1999,12.2053,9.767,0.0,0.0,0,SAFE,safe,,,12.2053
3,0.25,0,W01,-8.235,8.2472,-8.235,8.2472,-0.3613,1.3558,-0.3613,1.3558,-1.0619,2.0693,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.4636,9.4668,7.5779,0.0,0.0,0,SAFE,safe,,,9.4668
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.3613,1.3558,-0.3613,1.3558,-1.0619,2.0693,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1915,12.1969,9.7656,0.0,0.0,0,SAFE,safe,,,12.1969
4,0.3333,1,W01,-8.2302,8.2439,-8.2302,8.2439,-0.3678,1.3624,-0.3678,1.3624,-1.0684,2.0759,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.4485,9.4517,7.5736,0.0,0.0,0,SAFE,safe,,,9.4517
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.3678,1.3624,-0.3678,1.3624,-1.0684,2.0759,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1799,12.1853,9.7637,0.0,0.0,0,SAFE,safe,,,12.1853
5,0.4167,0,W01,-8.224,8.2396,-8.224,8.2396,-0.3761,1.3708,-0.3761,1.3708,-1.0767,2.0844,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.4293,9.4324,7.5681,0.0,0.0,0,SAFE,safe,,,9.4324
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.3761,1.3708,-0.3761,1.3708,-1.0767,2.0844,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1651,12.1705,9.7612,0.0,0.0,0,SAFE,safe,,,12.1705
6,0.5,1,W01,-8.2165,8.2345,-8.2165,8.2345,-0.3861,1.381,-0.3861,1.381,-1.0867,2.0946,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.406,9.4091,7.5615,0.0,0.0,0,SAFE,safe,,,9.4091
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.3861,1.381,-0.3861,1.381,-1.0867,2.0946,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1471,12.1525,9.7583,0.0,0.0,0,SAFE,safe,,,12.1525
7,0.5833,0,W01,-8.2077,8.2285,-8.2077,8.2285,-0.3979,1.393,-0.3979,1.393,-1.0985,2.1066,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.3787,9.3819,7.5537,0.0,0.0,0,SAFE,safe,,,9.3819
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.3979,1.393,-0.3979,1.393,-1.0985,2.1066,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1261,12.1315,9.7548,0.0,0.0,0,SAFE,safe,,,12.1315
8,0.6667,1,W01,-8.1977,8.2216,-8.1977,8.2216,-0.4113,1.4067,-0.4113,1.4067,-1.1119,2.1202,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.3475,9.3506,7.5448,0.0,0.0,0,SAFE,safe,,,9.3506
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.4113,1.4067,-0.4113,1.4067,-1.1119,2.1202,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.1021,12.1075,9.7508,0.0,0.0,0,SAFE,safe,,,12.1075
9,0.75,0,W01,-8.1864,8.2139,-8.1864,8.2139,-0.4264,1.4221,-0.4264,1.4221,-1.127,2.1356,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.3124,9.3156,7.5349,0.0,0.0,0,SAFE,safe,,,9.3156
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.4264,1.4221,-0.4264,1.4221,-1.127,2.1356,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.075,12.0805,9.7464,0.0,0.0,0,SAFE,safe,,,12.0805
10,0.8333,1,W01,-8.1739,8.2054,-8.1739,8.2054,-0.4431,1.4391,-0.4431,1.4391,-1.1437,2.1526,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.2736,9.2768,7.5239,0.0,0.0,0,SAFE,safe,,,9.2768
10,0.8333,1,W02,-10.47,9.784,-10.47,9.784,-0.4431,1.4391,-0.4431,1.4391,-1.1437,2.1526,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.0451,12.0506,9.7414,0.0,0.0,0,SAFE,safe,,,12.0506
11,0.9167,0,W01,-8.1602,8.196,-8.1602,8.196,-0.4614,1.4577,-0.4614,1.4577,-1.162,2.1713,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.2311,9.2342,7.5119,0.0,0.0,0,SAFE,safe,,,9.2342
11,0.9167,0,W02,-10.4639,9.7808,-10.4639,9.7808,-0.4614,1.4577,-0.4614,1.4577,-1.162,2.1713,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,13.0124,12.0179,9.736,0.0,0.0,0,SAFE,safe,,,12.0179
12,1.0,1,W01,-8.1453,8.1859,-8.1453,8.1859,-0.4813,1.478,-0.4813,1.478,-1.1819,2.1915,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.1849,9.1881,7.4988,0.0,0.0,0,SAFE,safe,,,9.1881
12,1.0,1,W02,-10.4573,9.7772,-10.4573,9.7772,-0.4813,1.478,-0.4813,1.478,-1.1819,2.1915,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,12.9768,11.9823,9.7302,0.0,0.0,0,SAFE,safe,,,11.9823
13,1.0833,0,W01,-8.1294,8.1749,-8.1294,8.1749,-0.5027,1.4998,-0.5027,1.4998,-1.2033,2.2133,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.1353,9.1384,7.4848,0.0,0.0,0,SAFE,safe,,,9.1384
13,1.0833,0,W02,-10.4502,9.7734,-10.4502,9.7734,-0.5027,1.4998,-0.5027,1.4998,-1.2033,2.2133,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,12.9386,11.9441,9.7239,0.0,0.0,0,SAFE,safe,,,11.9441
14,1.1667,1,W01,-8.1122,8.1632,-8.1122,8.1632,-0.5256,1.5231,-0.5256,1.5231,-1.2262,2.2366,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.0821,9.0853,7.4699,0.0,0.0,0,SAFE,safe,,,9.0853
14,1.1667,1,W02,-10.4426,9.7694,-10.4426,9.7694,-0.5256,1.5231,-0.5256,1.5231,-1.2262,2.2366,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,12.8976,11.9031,9.7171,0.0,0.0,0,SAFE,safe,,,11.9031
15,1.25,0,W01,-8.094,8.1508,-8.094,8.1508,-0.5499,1.5479,-0.5499,1.5479,-1.2506,2.2614,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,10.0255,9.0287,7.454,0.0,0.0,0,SAFE,safe,,,9.0287
15,1.25,0,W02,-10.4345,9.7651,-10.4345,9.7651,-0.5499,1.5479,-0.5499,1.5479,-1.2506,2.2614,-6.5833,0.8515,-6.5833,0.8515,0.0,0,0.0,0,12.8541,11.8596,9.71,0.0,0.0,0,SAFE,safe,,,11.8596
