frame,time_s,object,world_x,world_y
0,0.0,forklift,0.1029,-0.8331
0,0.0,dropzone,-7.7168,1.3684
0,0.0,W01,-5.5369,4.8198
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,0.1027,-0.832
1,0.0833,dropzone,-7.7168,1.3684
1,0.0833,W01,-5.5358,4.8198
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,0.1021,-0.8285
2,0.1667,dropzone,-7.7168,1.3684
2,0.1667,W01,-5.5327,4.8197
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,0.1011,-0.8228
3,0.25,dropzone,-7.7168,1.3684
3,0.25,W01,-5.5275,4.8197
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,0.0998,-0.8148
4,0.3333,dropzone,-7.7168,1.3684
4,0.3333,W01,-5.5203,4.8197
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,0.098,-0.8047
5,0.4167,dropzone,-7.7168,1.3684
5,0.4167,W01,-5.5111,4.8196
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,0.0959,-0.7924
6,0.5,dropzone,-7.7168,1.3684
6,0.5,W01,-5.5,4.8196
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,0.0935,-0.778
7,0.5833,dropzone,-7.7168,1.3684
7,0.5833,W01,-5.487,4.8195
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,0.0907,-0.7616
8,0.6667,dropzone,-7.7168,1.3684
8,0.6667,W01,-5.4722,4.8194
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,0.0875,-0.7431
9,0.75,dropzone,-7.7168,1.3684
9,0.75,W01,-5.4554,4.8193
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,0.084,-0.7226
10,0.8333,dropzone,-7.7168,1.3684
10,0.8333,W01,-5.4369,4.8192
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,0.0802,-0.7002
11,0.9167,dropzone,-7.7168,1.3684
11,0.9167,W01,-5.4167,4.8191
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,0.0761,-0.6759
12,1.0,dropzone,-7.7168,1.3684
12,1.0,W01,-5.3947,4.8189
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,0.0716,-0.6497
13,1.0833,dropzone,-7.7168,1.3684
13,1.0833,W01,-5.371,4.8188
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,0.0668,-0.6217
14,1.1667,dropzone,-7.7168,1.3684
14,1.1667,W01,-5.3456,4.8187
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,0.0617,-0.5919
15,1.25,dropzone,-7.7168,1.3684
15,1.25,W01,-5.3187,4.8185
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,0.0564,-0.5604
16,1.3333,dropzone,-7.7168,1.3684
16,1.3333,W01,-5.2901,4.8183
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,0.0507,-0.5271
17,1.4167,dropzone,-7.7168,1.3684
17,1.4167,W01,-5.26,4.8182
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,0.0447,-0.4922
18,1.5,dropzone,-7.7168,1.3684
18,1.5,W01,-5.2284,4.818
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,0.0385,-0.4556
19,1.5833,dropzone,-7.7168,1.3684
19,1.5833,W01,-5.1954,4.8178
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,0.032,-0.4175
20,1.6667,dropzone,-7.7168,1.3684
20,1.6667,W01,-5.1608,4.8176
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,0.0252,-0.3777
21,1.75,dropzone,-7.7168,1.3684
21,1.75,W01,-5.1249,4.8174
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,0.0182,-0.3365
22,1.8333,dropzone,-7.7168,1.3684
22,1.8333,W01,-5.0876,4.8172
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,0.0109,-0.2938
23,1.9167,dropzone,-7.7168,1.3684
23,1.9167,W01,-5.049,4.817
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,0.0034,-0.2497
24,2.0,dropzone,-7.7168,1.3684
24,2.0,W01,-5.0091,4.8167
24,2.0,W02,-10.3416,9.7155
25,2.0833,forklift,-0.0044,-0.2041
25,2.0833,dropzone,-7.7168,1.3684
25,2.0833,W01,-4.9679,4.8165
25,2.0833,W02,-10.3292,9.7089
26,2.1667,forklift,-0.0124,-0.1572
26,2.1667,dropzone,-7.7168,1.3684
26,2.1667,W01,-4.9254,4.8163
26,2.1667,W02,-10.3165,9.7021
27,2.25,forklift,-0.0206,-0.109
27,2.25,dropzone,-7.7168,1.3684
27,2.25,W01,-4.8818,4.816
27,2.25,W02,-10.3034,9.6951
28,2.3333,forklift,-0.0291,-0.0595
28,2.3333,dropzone,-7.7168,1.3684
28,2.3333,W01,-4.8371,4.8157
28,2.3333,W02,-10.2899,9.688
29,2.4167,forklift,-0.0377,-0.0088
29,2.4167,dropzone,-7.7168,1.3684
29,2.4167,W01,-4.7912,4.8155
29,2.4167,W02,-10.2762,9.6806
30,2.5,forklift,-0.0466,0.0431
30,2.5,dropzone,-7.7168,1.3684
30,2.5,W01,-4.7442,4.8152
30,2.5,W02,-10.2621,9.6731
31,2.5833,forklift,-0.0557,0.0962
31,2.5833,dropzone,-7.7168,1.3684
31,2.5833,W01,-4.6962,4.8149
31,2.5833,W02,-10.2477,9.6654
32,2.6667,forklift,-0.0649,0.1504
32,2.6667,dropzone,-7.7168,1.3684
32,2.6667,W01,-4.6471,4.8147
32,2.6667,W02,-10.2329,9.6576
33,2.75,forklift,-0.0743,0.2057
33,2.75,dropzone,-7.7168,1.3684
33,2.75,W01,-4.5971,4.8144
33,2.75,W02,-10.2179,9.6496
34,2.8333,forklift,-0.0839,0.2621
34,2.8333,dropzone,-7.7168,1.3684
34,2.8333,W01,-4.5461,4.8141
34,2.8333,W02,-10.2026,9.6414
35,2.9167,forklift,-0.0937,0.3194
35,2.9167,dropzone,-7.7168,1.3684
35,2.9167,W01,-4.4943,4.8138
35,2.9167,W02,-10.1871,9.6331
36,3.0,forklift,-0.1037,0.3777
36,3.0,dropzone,-7.7168,1.3684
36,3.0,W01,-4.4415,4.8135
36,3.0,W02,-10.1712,9.6247
37,3.0833,forklift,-0.1138,0.4369
37,3.0833,dropzone,-7.7168,1.3684
37,3.0833,W01,-4.388,4.8132
37,3.0833,W02,-10.1551,9.6161
38,3.1667,forklift,-0.124,0.497
38,3.1667,dropzone,-7.7168,1.3684
38,3.1667,W01,-4.3336,4.8129
38,3.1667,W02,-10.1388,9.6074
39,3.25,forklift,-0.1344,0.558
39,3.25,dropzone,-7.7168,1.3684
39,3.25,W01,-4.2784,4.8125
39,3.25,W02,-10.1223,9.5985
40,3.3333,forklift,-0.145,0.6197
40,3.3333,dropzone,-7.7168,1.3684
40,3.3333,W01,-4.2226,4.8122
40,3.3333,W02,-10.1055,9.5896
41,3.4167,forklift,-0.1556,0.6823
41,3.4167,dropzone,-7.7168,1.3684
41,3.4167,W01,-4.166,4.8119
41,3.4167,W02,-10.0885,9.5805
42,3.5,forklift,-0.1664,0.7455
42,3.5,dropzone,-7.7168,1.3684
42,3.5,W01,-4.1088,4.8116
42,3.5,W02,-10.0713,9.5714
43,3.5833,forklift,-0.1773,0.8095
43,3.5833,dropzone,-7.7168,1.3684
43,3.5833,W01,-4.0509,4.8112
43,3.5833,W02,-10.054,9.5621
44,3.6667,forklift,-0.1884,0.8741
44,3.6667,dropzone,-7.7168,1.3684
44,3.6667,W01,-3.9925,4.8109
44,3.6667,W02,-10.0364,9.5528
45,3.75,forklift,-0.1995,0.9393
45,3.75,dropzone,-7.7168,1.3684
45,3.75,W01,-3.9335,4.8106
45,3.75,W02,-10.0187,9.5433
46,3.8333,forklift,-0.2107,1.0051
46,3.8333,dropzone,-7.7168,1.3684
46,3.8333,W01,-3.874,4.8102
46,3.8333,W02,-10.0009,9.5338
47,3.9167,forklift,-0.222,1.0714
47,3.9167,dropzone,-7.7168,1.3684
47,3.9167,W01,-3.814,4.8099
47,3.9167,W02,-9.9829,9.5242
48,4.0,forklift,-0.2334,1.1382
48,4.0,dropzone,-7.7168,1.3684
48,4.0,W01,-3.7536,4.8095
48,4.0,W02,-9.9647,9.5145
49,4.0833,forklift,-0.2449,1.2054
49,4.0833,dropzone,-7.7168,1.3684
49,4.0833,W01,-3.6927,4.8092
49,4.0833,W02,-9.9465,9.5048
50,4.1667,forklift,-0.2564,1.2731
50,4.1667,dropzone,-7.7168,1.3684
50,4.1667,W01,-3.6315,4.8088
50,4.1667,W02,-9.9281,9.495
51,4.25,forklift,-0.268,1.3411
51,4.25,dropzone,-7.7168,1.3684
51,4.25,W01,-3.57,4.8085
51,4.25,W02,-9.9096,9.4851
52,4.3333,forklift,-0.2797,1.4095
52,4.3333,dropzone,-7.7168,1.3684
52,4.3333,W01,-3.5081,4.8081
52,4.3333,W02,-9.8911,9.4752
53,4.4167,forklift,-0.2914,1.4782
53,4.4167,dropzone,-7.7168,1.3684
53,4.4167,W01,-3.446,4.8078
53,4.4167,W02,-9.8724,9.4653
54,4.5,forklift,-0.3032,1.5471
54,4.5,dropzone,-7.7168,1.3684
54,4.5,W01,-3.3837,4.8074
54,4.5,W02,-9.8537,9.4553
55,4.5833,forklift,-0.315,1.6162
55,4.5833,dropzone,-7.7168,1.3684
55,4.5833,W01,-3.3211,4.807
55,4.5833,W02,-9.8349,9.4453
56,4.6667,forklift,-0.3268,1.6855
56,4.6667,dropzone,-7.7168,1.3684
56,4.6667,W01,-3.2584,4.8067
56,4.6667,W02,-9.8161,9.4353
57,4.75,forklift,-0.3386,1.755
57,4.75,dropzone,-7.7168,1.3684
57,4.75,W01,-3.1956,4.8063
57,4.75,W02,-9.7972,9.4252
58,4.8333,forklift,-0.3505,1.8245
58,4.8333,dropzone,-7.7168,1.3684
58,4.8333,W01,-3.1327,4.806
58,4.8333,W02,-9.7784,9.4151
59,4.9167,forklift,-0.3624,1.8942
59,4.9167,dropzone,-7.7168,1.3684
59,4.9167,W01,-3.0697,4.8056
59,4.9167,W02,-9.7595,9.405
60,5.0,forklift,-0.3743,1.9638
60,5.0,dropzone,-7.7168,1.3684
60,5.0,W01,-3.0067,4.8052
60,5.0,W02,-9.7405,9.395
61,5.0833,forklift,-0.3861,2.0334
61,5.0833,dropzone,-7.7168,1.3684
61,5.0833,W01,-2.9437,4.8049
61,5.0833,W02,-9.7216,9.3849
62,5.1667,forklift,-0.398,2.1029
62,5.1667,dropzone,-7.7168,1.3684
62,5.1667,W01,-2.8808,4.8045
62,5.1667,W02,-9.7028,9.3748
63,5.25,forklift,-0.4098,2.1724
63,5.25,dropzone,-7.7168,1.3684
63,5.25,W01,-2.818,4.8041
63,5.25,W02,-9.6839,9.3647
64,5.3333,forklift,-0.4217,2.2417
64,5.3333,dropzone,-7.7168,1.3684
64,5.3333,W01,-2.7553,4.8038
64,5.3333,W02,-9.6651,9.3547
65,5.4167,forklift,-0.4335,2.3109
65,5.4167,dropzone,-7.7168,1.3684
65,5.4167,W01,-2.6927,4.8034
65,5.4167,W02,-9.6463,9.3447
66,5.5,forklift,-0.4452,2.3798
66,5.5,dropzone,-7.7168,1.3684
66,5.5,W01,-2.6304,4.8031
66,5.5,W02,-9.6276,9.3347
67,5.5833,forklift,-0.4569,2.4484
67,5.5833,dropzone,-7.7168,1.3684
67,5.5833,W01,-2.5683,4.8027
67,5.5833,W02,-9.6089,9.3248
68,5.6667,forklift,-0.4686,2.5168
68,5.6667,dropzone,-7.7168,1.3684
68,5.6667,W01,-2.5064,4.8024
68,5.6667,W02,-9.5904,9.3149
69,5.75,forklift,-0.4802,2.5849
69,5.75,dropzone,-7.7168,1.3684
69,5.75,W01,-2.4449,4.802
69,5.75,W02,-9.5719,9.305
70,5.8333,forklift,-0.4917,2.6525
70,5.8333,dropzone,-7.7168,1.3684
70,5.8333,W01,-2.3836,4.8016
70,5.8333,W02,-9.5535,9.2952
71,5.9167,forklift,-0.5032,2.7198
71,5.9167,dropzone,-7.7168,1.3684
71,5.9167,W01,-2.3228,4.8013
71,5.9167,W02,-9.5353,9.2855
72,6.0,forklift,-0.5146,2.7866
72,6.0,dropzone,-7.7168,1.3684
72,6.0,W01,-2.2624,4.801
72,6.0,W02,-9.5171,9.2758
73,6.0833,forklift,-0.5259,2.8529
73,6.0833,dropzone,-7.7168,1.3684
73,6.0833,W01,-2.2024,4.8006
73,6.0833,W02,-9.4991,9.2662
74,6.1667,forklift,-0.5371,2.9186
74,6.1667,dropzone,-7.7168,1.3684
74,6.1667,W01,-2.1429,4.8003
74,6.1667,W02,-9.4813,9.2567
75,6.25,forklift,-0.5483,2.9839
75,6.25,dropzone,-7.7168,1.3684
75,6.25,W01,-2.0839,4.7999
75,6.25,W02,-9.4636,9.2472
76,6.3333,forklift,-0.5593,3.0484
76,6.3333,dropzone,-7.7168,1.3684
76,6.3333,W01,-2.0255,4.7996
76,6.3333,W02,-9.446,9.2379
77,6.4167,forklift,-0.5702,3.1124
77,6.4167,dropzone,-7.7168,1.3684
77,6.4167,W01,-1.9676,4.7993
77,6.4167,W02,-9.4287,9.2286
