frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-4.8358,4.2938,-4.8358,4.2938,-0.081,-1.7743,-0.081,-1.7743,-0.2103,-0.7827,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.7091,6.8678,3.1552,0.0,0.0,0,SAFE,safe,,,6.8678
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.081,-1.7743,-0.081,-1.7743,-0.2103,-0.7827,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5731,14.7605,8.5547,0.0,0.0,0,SAFE,safe,,,14.7605
1,0.0833,0,W01,-4.8349,4.2938,-4.8349,4.2938,-0.0812,-1.7731,-0.0812,-1.7731,-0.2104,-0.7815,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.7075,6.8662,3.1558,0.0,0.0,0,SAFE,safe,,,6.8662
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.0812,-1.7731,-0.0812,-1.7731,-0.2104,-0.7815,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5717,14.7592,8.5544,0.0,0.0,0,SAFE,safe,,,14.7592
2,0.1667,1,W01,-4.8322,4.2937,-4.8322,4.2937,-0.0817,-1.7694,-0.0817,-1.7694,-0.2109,-0.7778,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.7026,6.8613,3.1576,0.0,0.0,0,SAFE,safe,,,6.8613
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.0817,-1.7694,-0.0817,-1.7694,-0.2109,-0.7778,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5677,14.7552,8.5536,0.0,0.0,0,SAFE,safe,,,14.7552
3,0.25,0,W01,-4.8278,4.2936,-4.8278,4.2936,-0.0825,-1.7634,-0.0825,-1.7634,-0.2117,-0.7718,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6945,6.8532,3.1606,0.0,0.0,0,SAFE,safe,,,6.8532
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.0825,-1.7634,-0.0825,-1.7634,-0.2117,-0.7718,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.561,14.7486,8.5522,0.0,0.0,0,SAFE,safe,,,14.7486
4,0.3333,1,W01,-4.8216,4.2934,-4.8216,4.2934,-0.0836,-1.755,-0.0836,-1.755,-0.2128,-0.7634,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6832,6.8419,3.1647,0.0,0.0,0,SAFE,safe,,,6.8419
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.0836,-1.755,-0.0836,-1.755,-0.2128,-0.7634,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5517,14.7395,8.5503,0.0,0.0,0,SAFE,safe,,,14.7395
5,0.4167,0,W01,-4.8137,4.2932,-4.8137,4.2932,-0.085,-1.7443,-0.085,-1.7443,-0.2142,-0.7527,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6689,6.8276,3.1699,0.0,0.0,0,SAFE,safe,,,6.8276
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.085,-1.7443,-0.085,-1.7443,-0.2142,-0.7527,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5399,14.7279,8.5478,0.0,0.0,0,SAFE,safe,,,14.7279
6,0.5,1,W01,-4.8042,4.2929,-4.8042,4.2929,-0.0866,-1.7313,-0.0866,-1.7313,-0.2159,-0.7397,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6515,6.8102,3.1763,0.0,0.0,0,SAFE,safe,,,6.8102
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.0866,-1.7313,-0.0866,-1.7313,-0.2159,-0.7397,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5255,14.7138,8.5448,0.0,0.0,0,SAFE,safe,,,14.7138
7,0.5833,0,W01,-4.793,4.2926,-4.793,4.2926,-0.0886,-1.7161,-0.0886,-1.7161,-0.2179,-0.7245,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6312,6.7899,3.1838,0.0,0.0,0,SAFE,safe,,,6.7899
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.0886,-1.7161,-0.0886,-1.7161,-0.2179,-0.7245,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.5088,14.6973,8.5413,0.0,0.0,0,SAFE,safe,,,14.6973
8,0.6667,1,W01,-4.7802,4.2922,-4.7802,4.2922,-0.0909,-1.6987,-0.0909,-1.6987,-0.2201,-0.7071,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.6079,6.7666,3.1924,0.0,0.0,0,SAFE,safe,,,6.7666
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.0909,-1.6987,-0.0909,-1.6987,-0.2201,-0.7071,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.4896,14.6785,8.5373,0.0,0.0,0,SAFE,safe,,,14.6785
9,0.75,0,W01,-4.7659,4.2918,-4.7659,4.2918,-0.0934,-1.6792,-0.0934,-1.6792,-0.2227,-0.6875,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,7.5818,6.7405,3.2021,0.0,0.0,0,SAFE,safe,,,6.7405
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.0934,-1.6792,-0.0934,-1.6792,-0.2227,-0.6875,-6.9973,1.9953,-6.9973,1.9953,0.0,0,0.0,0,15.468,14.6573,8.5328,0.0,0.0,0,SAFE,safe,,,14.6573
