frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-9.8848,6.507,-9.8848,6.507,-0.8676,1.3658,-0.8676,1.3658,-1.5987,2.048,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3799,9.4097,4.8418,0.0,0.0,0,SAFE,safe,,,9.4097
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.8676,1.3658,-0.8676,1.3658,-1.5987,2.048,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.8031,11.8037,8.1766,0.0,0.0,0,SAFE,safe,,,11.8037
1,0.0833,0,W01,-9.8834,6.5067,-9.8834,6.5067,-0.8687,1.3668,-0.8687,1.3668,-1.5998,2.049,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3771,9.4069,4.841,0.0,0.0,0,SAFE,safe,,,9.4069
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.8687,1.3668,-0.8687,1.3668,-1.5998,2.049,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.8013,11.8018,8.1763,0.0,0.0,0,SAFE,safe,,,11.8018
2,0.1667,1,W01,-9.8793,6.5057,-9.8793,6.5057,-0.8719,1.3698,-0.8719,1.3698,-1.6031,2.052,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3688,9.3985,4.8389,0.0,0.0,0,SAFE,safe,,,9.3985
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.8719,1.3698,-0.8719,1.3698,-1.6031,2.052,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7958,11.7964,8.1756,0.0,0.0,0,SAFE,safe,,,11.7964
3,0.25,0,W01,-9.8725,6.5041,-9.8725,6.5041,-0.8773,1.3748,-0.8773,1.3748,-1.6084,2.057,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3549,9.3847,4.8353,0.0,0.0,0,SAFE,safe,,,9.3847
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.8773,1.3748,-0.8773,1.3748,-1.6084,2.057,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7868,11.7873,8.1744,0.0,0.0,0,SAFE,safe,,,11.7873
4,0.3333,1,W01,-9.8631,6.502,-9.8631,6.502,-0.8847,1.3817,-0.8847,1.3817,-1.6159,2.0639,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3358,9.3655,4.8304,0.0,0.0,0,SAFE,safe,,,9.3655
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.8847,1.3817,-0.8847,1.3817,-1.6159,2.0639,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7743,11.7748,8.1728,0.0,0.0,0,SAFE,safe,,,11.7748
5,0.4167,0,W01,-9.8511,6.4992,-9.8511,6.4992,-0.8942,1.3905,-0.8942,1.3905,-1.6253,2.0727,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.3113,9.3411,4.8241,0.0,0.0,0,SAFE,safe,,,9.3411
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.8942,1.3905,-0.8942,1.3905,-1.6253,2.0727,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7583,11.7588,8.1706,0.0,0.0,0,SAFE,safe,,,11.7588
6,0.5,1,W01,-9.8365,6.4958,-9.8365,6.4958,-0.9056,1.4013,-0.9056,1.4013,-1.6368,2.0834,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.2817,9.3115,4.8166,0.0,0.0,0,SAFE,safe,,,9.3115
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.9056,1.4013,-0.9056,1.4013,-1.6368,2.0834,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7389,11.7395,8.1681,0.0,0.0,0,SAFE,safe,,,11.7395
7,0.5833,0,W01,-9.8194,6.4918,-9.8194,6.4918,-0.9191,1.4138,-0.9191,1.4138,-1.6502,2.096,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.2471,9.2768,4.8078,0.0,0.0,0,SAFE,safe,,,9.2768
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.9191,1.4138,-0.9191,1.4138,-1.6502,2.096,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.7162,11.7168,8.1651,0.0,0.0,0,SAFE,safe,,,11.7168
8,0.6667,1,W01,-9.7999,6.4873,-9.7999,6.4873,-0.9344,1.4281,-0.9344,1.4281,-1.6656,2.1103,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.2074,9.2371,4.7978,0.0,0.0,0,SAFE,safe,,,9.2371
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.9344,1.4281,-0.9344,1.4281,-1.6656,2.1103,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.6903,11.6908,8.1616,0.0,0.0,0,SAFE,safe,,,11.6908
9,0.75,0,W01,-9.778,6.4822,-9.778,6.4822,-0.9517,1.4442,-0.9517,1.4442,-1.6829,2.1264,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.1629,9.1926,4.7866,0.0,0.0,0,SAFE,safe,,,9.1926
9,0.75,0,W02,-10.4756,9.787,-10.4756,9.787,-0.9517,1.4442,-0.9517,1.4442,-1.6829,2.1264,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.6612,11.6617,8.1578,0.0,0.0,0,SAFE,safe,,,11.6617
10,0.8333,1,W01,-9.7537,6.4765,-9.7537,6.4765,-0.9708,1.4621,-0.9708,1.4621,-1.702,2.1443,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.1135,9.1432,4.7743,0.0,0.0,0,SAFE,safe,,,9.1432
10,0.8333,1,W02,-10.47,9.784,-10.47,9.784,-0.9708,1.4621,-0.9708,1.4621,-1.702,2.1443,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.6289,11.6294,8.1535,0.0,0.0,0,SAFE,safe,,,11.6294
11,0.9167,0,W01,-9.7271,6.4703,-9.7271,6.4703,-0.9918,1.4816,-0.9918,1.4816,-1.7229,2.1638,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.0595,9.0892,4.761,0.0,0.0,0,SAFE,safe,,,9.0892
11,0.9167,0,W02,-10.4639,9.7808,-10.4639,9.7808,-0.9918,1.4816,-0.9918,1.4816,-1.7229,2.1638,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.5936,11.5941,8.1488,0.0,0.0,0,SAFE,safe,,,11.5941
12,1.0,1,W01,-9.6983,6.4636,-9.6983,6.4636,-1.0145,1.5028,-1.0145,1.5028,-1.7457,2.185,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,10.0009,9.0305,4.7467,0.0,0.0,0,SAFE,safe,,,9.0305
12,1.0,1,W02,-10.4573,9.7772,-10.4573,9.7772,-1.0145,1.5028,-1.0145,1.5028,-1.7457,2.185,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.5552,11.5557,8.1438,0.0,0.0,0,SAFE,safe,,,11.5557
13,1.0833,0,W01,-9.6672,6.4564,-9.6672,6.4564,-1.0389,1.5256,-1.0389,1.5256,-1.7701,2.2078,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.9378,8.9674,4.7314,0.0,0.0,0,SAFE,safe,,,8.9674
13,1.0833,0,W02,-10.4502,9.7734,-10.4502,9.7734,-1.0389,1.5256,-1.0389,1.5256,-1.7701,2.2078,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.5139,11.5144,8.1383,0.0,0.0,0,SAFE,safe,,,11.5144
14,1.1667,1,W01,-9.634,6.4487,-9.634,6.4487,-1.0651,1.5501,-1.0651,1.5501,-1.7963,2.2323,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.8702,8.8998,4.7152,0.0,0.0,0,SAFE,safe,,,8.8998
14,1.1667,1,W02,-10.4426,9.7694,-10.4426,9.7694,-1.0651,1.5501,-1.0651,1.5501,-1.7963,2.2323,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.4697,11.4703,8.1325,0.0,0.0,0,SAFE,safe,,,11.4703
15,1.25,0,W01,-9.5986,6.4404,-9.5986,6.4404,-1.093,1.5761,-1.093,1.5761,-1.8242,2.2582,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.7984,8.828,4.6983,0.0,0.0,0,SAFE,safe,,,8.828
15,1.25,0,W02,-10.4345,9.7651,-10.4345,9.7651,-1.093,1.5761,-1.093,1.5761,-1.8242,2.2582,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.4227,11.4233,8.1263,0.0,0.0,0,SAFE,safe,,,11.4233
16,1.3333,1,W01,-9.5612,6.4317,-9.5612,6.4317,-1.1225,1.6036,-1.1225,1.6036,-1.8536,2.2858,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.7223,8.7519,4.6805,0.0,0.0,0,SAFE,safe,,,8.7519
16,1.3333,1,W02,-10.4259,9.7605,-10.4259,9.7605,-1.1225,1.6036,-1.1225,1.6036,-1.8536,2.2858,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.373,11.3735,8.1197,0.0,0.0,0,SAFE,safe,,,11.3735
17,1.4167,0,W01,-9.5217,6.4226,-9.5217,6.4226,-1.1536,1.6326,-1.1536,1.6326,-1.8847,2.3148,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.6421,8.6717,4.6621,0.0,0.0,0,SAFE,safe,,,8.6717
17,1.4167,0,W02,-10.4169,9.7557,-10.4169,9.7557,-1.1536,1.6326,-1.1536,1.6326,-1.8847,2.3148,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,12.3205,11.321,8.1128,0.0,0.0,0,SAFE,safe,,,11.321
18,1.5,1,W01,-9.4803,6.4129,-9.4803,6.4129,-1.1862,1.663,-1.1862,1.663,-1.9174,2.3452,-8.4151,1.8937,-8.4151,1.8937,0.0,0,0.0,0,9.5579,8.5874,4.6431,0.0,0.0,0,SAFE,safe,,,8.5874
