frame,time_s,object,world_x,world_y
0,0.0,forklift,-1.3232,1.2067
0,0.0,dropzone,-7.2892,2.0876
0,0.0,W01,-10.4515,6.0426
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-1.3242,1.2077
1,0.0833,dropzone,-7.2892,2.0876
1,0.0833,W01,-10.4501,6.0423
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-1.3274,1.2108
2,0.1667,dropzone,-7.2892,2.0876
2,0.1667,W01,-10.4458,6.0416
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-1.3327,1.2159
3,0.25,dropzone,-7.2892,2.0876
3,0.25,W01,-10.4388,6.0404
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-1.34,1.2229
4,0.3333,dropzone,-7.2892,2.0876
4,0.3333,W01,-10.4291,6.0388
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-1.3493,1.2319
5,0.4167,dropzone,-7.2892,2.0876
5,0.4167,W01,-10.4167,6.0367
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-1.3606,1.2428
6,0.5,dropzone,-7.2892,2.0876
6,0.5,W01,-10.4017,6.0342
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-1.3738,1.2556
7,0.5833,dropzone,-7.2892,2.0876
7,0.5833,W01,-10.3842,6.0313
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-1.3889,1.2702
8,0.6667,dropzone,-7.2892,2.0876
8,0.6667,W01,-10.364,6.0279
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-1.4059,1.2866
9,0.75,dropzone,-7.2892,2.0876
9,0.75,W01,-10.3415,6.0241
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-1.4247,1.3048
10,0.8333,dropzone,-7.2892,2.0876
10,0.8333,W01,-10.3165,6.02
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-1.4453,1.3247
11,0.9167,dropzone,-7.2892,2.0876
11,0.9167,W01,-10.2891,6.0154
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-1.4676,1.3462
12,1.0,dropzone,-7.2892,2.0876
12,1.0,W01,-10.2594,6.0104
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-1.4917,1.3695
13,1.0833,dropzone,-7.2892,2.0876
13,1.0833,W01,-10.2274,6.005
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-1.5174,1.3944
14,1.1667,dropzone,-7.2892,2.0876
14,1.1667,W01,-10.1931,5.9993
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-1.5448,1.4208
15,1.25,dropzone,-7.2892,2.0876
15,1.25,W01,-10.1567,5.9932
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-1.5738,1.4488
16,1.3333,dropzone,-7.2892,2.0876
16,1.3333,W01,-10.1181,5.9867
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-1.6044,1.4784
17,1.4167,dropzone,-7.2892,2.0876
17,1.4167,W01,-10.0775,5.9799
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-1.6365,1.5094
18,1.5,dropzone,-7.2892,2.0876
18,1.5,W01,-10.0348,5.9728
18,1.5,W02,-10.4074,9.7506
19,1.5833,forklift,-1.6701,1.5419
19,1.5833,dropzone,-7.2892,2.0876
19,1.5833,W01,-9.9901,5.9653
19,1.5833,W02,-10.3975,9.7453
20,1.6667,forklift,-1.7051,1.5758
20,1.6667,dropzone,-7.2892,2.0876
20,1.6667,W01,-9.9434,5.9575
20,1.6667,W02,-10.3871,9.7398
21,1.75,forklift,-1.7416,1.611
21,1.75,dropzone,-7.2892,2.0876
21,1.75,W01,-9.8949,5.9494
21,1.75,W02,-10.3763,9.7341
22,1.8333,forklift,-1.7795,1.6476
22,1.8333,dropzone,-7.2892,2.0876
22,1.8333,W01,-9.8445,5.9409
22,1.8333,W02,-10.3652,9.7281
23,1.9167,forklift,-1.8187,1.6856
23,1.9167,dropzone,-7.2892,2.0876
23,1.9167,W01,-9.7923,5.9322
23,1.9167,W02,-10.3536,9.7219
24,2.0,forklift,-1.8593,1.7248
24,2.0,dropzone,-7.2892,2.0876
24,2.0,W01,-9.7383,5.9232
24,2.0,W02,-10.3416,9.7155
25,2.0833,forklift,-1.9011,1.7652
25,2.0833,dropzone,-7.2892,2.0876
25,2.0833,W01,-9.6827,5.9138
25,2.0833,W02,-10.3292,9.7089
26,2.1667,forklift,-1.9442,1.8068
26,2.1667,dropzone,-7.2892,2.0876
26,2.1667,W01,-9.6254,5.9042
26,2.1667,W02,-10.3165,9.7021
27,2.25,forklift,-1.9885,1.8496
27,2.25,dropzone,-7.2892,2.0876
27,2.25,W01,-9.5664,5.8944
27,2.25,W02,-10.3034,9.6951
28,2.3333,forklift,-2.034,1.8936
28,2.3333,dropzone,-7.2892,2.0876
28,2.3333,W01,-9.5059,5.8842
28,2.3333,W02,-10.2899,9.688
29,2.4167,forklift,-2.0806,1.9386
29,2.4167,dropzone,-7.2892,2.0876
29,2.4167,W01,-9.4439,5.8739
29,2.4167,W02,-10.2762,9.6806
30,2.5,forklift,-2.1283,1.9847
30,2.5,dropzone,-7.2892,2.0876
30,2.5,W01,-9.3805,5.8632
30,2.5,W02,-10.2621,9.6731
31,2.5833,forklift,-2.1771,2.0319
31,2.5833,dropzone,-7.2892,2.0876
31,2.5833,W01,-9.3156,5.8524
31,2.5833,W02,-10.2477,9.6654
32,2.6667,forklift,-2.2269,2.08
32,2.6667,dropzone,-7.2892,2.0876
32,2.6667,W01,-9.2493,5.8413
32,2.6667,W02,-10.2329,9.6576
33,2.75,forklift,-2.2777,2.1291
33,2.75,dropzone,-7.2892,2.0876
33,2.75,W01,-9.1817,5.83
33,2.75,W02,-10.2179,9.6496
34,2.8333,forklift,-2.3295,2.1791
34,2.8333,dropzone,-7.2892,2.0876
34,2.8333,W01,-9.1129,5.8184
34,2.8333,W02,-10.2026,9.6414
35,2.9167,forklift,-2.3822,2.2301
35,2.9167,dropzone,-7.2892,2.0876
35,2.9167,W01,-9.0428,5.8067
35,2.9167,W02,-10.1871,9.6331
36,3.0,forklift,-2.4358,2.2818
36,3.0,dropzone,-7.2892,2.0876
36,3.0,W01,-8.9715,5.7948
