frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-9.221,7.6897,-9.221,7.6897,-1.0558,1.449,-1.0558,1.449,-1.8497,2.0571,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.277,9.277,5.6151,0.0,0.0,0,SAFE,safe,,,9.277
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-1.0558,1.449,-1.0558,1.449,-1.8497,2.0571,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.6068,11.6095,8.0151,0.0,0.0,0,SAFE,safe,,,11.6095
1,0.0833,0,W01,-9.2204,7.6894,-9.2204,7.6894,-1.0567,1.4496,-1.0567,1.4496,-1.8506,2.0577,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2753,9.2753,5.6146,0.0,0.0,0,SAFE,safe,,,9.2753
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-1.0567,1.4496,-1.0567,1.4496,-1.8506,2.0577,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.6054,11.6081,8.0148,0.0,0.0,0,SAFE,safe,,,11.6081
2,0.1667,1,W01,-9.2187,7.6883,-9.2187,7.6883,-1.0591,1.4515,-1.0591,1.4515,-1.8529,2.0596,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2702,9.2702,5.6131,0.0,0.0,0,SAFE,safe,,,9.2702
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-1.0591,1.4515,-1.0591,1.4515,-1.8529,2.0596,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.6013,11.604,8.014,0.0,0.0,0,SAFE,safe,,,11.604
3,0.25,0,W01,-9.2158,7.6866,-9.2158,7.6866,-1.0631,1.4546,-1.0631,1.4546,-1.857,2.0626,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2618,9.2618,5.6107,0.0,0.0,0,SAFE,safe,,,9.2618
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-1.0631,1.4546,-1.0631,1.4546,-1.857,2.0626,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.5946,11.5973,8.0127,0.0,0.0,0,SAFE,safe,,,11.5973
4,0.3333,1,W01,-9.2117,7.6841,-9.2117,7.6841,-1.0686,1.4588,-1.0686,1.4588,-1.8625,2.0669,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2501,9.2501,5.6073,0.0,0.0,0,SAFE,safe,,,9.2501
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-1.0686,1.4588,-1.0686,1.4588,-1.8625,2.0669,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.5852,11.5879,8.0109,0.0,0.0,0,SAFE,safe,,,11.5879
5,0.4167,0,W01,-9.2066,7.681,-9.2066,7.681,-1.0757,1.4642,-1.0757,1.4642,-1.8696,2.0723,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2352,9.2352,5.603,0.0,0.0,0,SAFE,safe,,,9.2352
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-1.0757,1.4642,-1.0757,1.4642,-1.8696,2.0723,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,12.5733,11.576,8.0086,0.0,0.0,0,SAFE,safe,,,11.576
6,0.5,1,W01,-9.2003,7.6773,-9.2003,7.6773,-1.0843,1.4708,-1.0843,1.4708,-1.8782,2.0789,-7.7581,2.2685,-7.7581,2.2685,0.0,0,0.0,0,10.2172,9.2172,5.5978,0.0,0.0,0,SAFE,safe,,,9.2172
