frame,time_s,object,world_x,world_y
0,0.0,forklift,-1.0449,0.4521
0,0.0,dropzone,-8.2447,1.7048
0,0.0,W01,-8.8273,6.7616
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-1.0457,0.4528
1,0.0833,dropzone,-8.2447,1.7048
1,0.0833,W01,-8.8268,6.7613
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-1.0481,0.4548
2,0.1667,dropzone,-8.2447,1.7048
2,0.1667,W01,-8.8252,6.7604
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-1.052,0.4581
3,0.25,dropzone,-8.2447,1.7048
3,0.25,W01,-8.8226,6.7588
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-1.0574,0.4627
4,0.3333,dropzone,-8.2447,1.7048
4,0.3333,W01,-8.819,6.7567
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-1.0644,0.4686
5,0.4167,dropzone,-8.2447,1.7048
5,0.4167,W01,-8.8145,6.7539
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-1.0728,0.4757
6,0.5,dropzone,-8.2447,1.7048
6,0.5,W01,-8.8089,6.7505
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-1.0826,0.4841
7,0.5833,dropzone,-8.2447,1.7048
7,0.5833,W01,-8.8024,6.7466
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-1.0939,0.4936
8,0.6667,dropzone,-8.2447,1.7048
8,0.6667,W01,-8.795,6.7421
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-1.1066,0.5043
9,0.75,dropzone,-8.2447,1.7048
9,0.75,W01,-8.7866,6.7371
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-1.1206,0.5162
10,0.8333,dropzone,-8.2447,1.7048
10,0.8333,W01,-8.7774,6.7315
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-1.1359,0.5292
11,0.9167,dropzone,-8.2447,1.7048
11,0.9167,W01,-8.7673,6.7254
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-1.1526,0.5433
12,1.0,dropzone,-8.2447,1.7048
12,1.0,W01,-8.7563,6.7188
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-1.1705,0.5585
13,1.0833,dropzone,-8.2447,1.7048
13,1.0833,W01,-8.7444,6.7117
13,1.0833,W02,-10.4502,9.7734
14,1.1667,forklift,-1.1897,0.5747
14,1.1667,dropzone,-8.2447,1.7048
14,1.1667,W01,-8.7318,6.704
14,1.1667,W02,-10.4426,9.7694
15,1.25,forklift,-1.2101,0.592
15,1.25,dropzone,-8.2447,1.7048
15,1.25,W01,-8.7183,6.6959
15,1.25,W02,-10.4345,9.7651
16,1.3333,forklift,-1.2318,0.6103
16,1.3333,dropzone,-8.2447,1.7048
16,1.3333,W01,-8.704,6.6873
16,1.3333,W02,-10.4259,9.7605
17,1.4167,forklift,-1.2546,0.6296
17,1.4167,dropzone,-8.2447,1.7048
17,1.4167,W01,-8.689,6.6783
17,1.4167,W02,-10.4169,9.7557
18,1.5,forklift,-1.2785,0.6499
18,1.5,dropzone,-8.2447,1.7048
18,1.5,W01,-8.6732,6.6687
18,1.5,W02,-10.4074,9.7506
