frame,time_s,model_tick,worker_id,raw_worker_x,raw_worker_y,worker_x,worker_y,raw_forklift_x,raw_forklift_y,forklift_x,forklift_y,forklift_hazard_x,forklift_hazard_y,raw_dropzone_x,raw_dropzone_y,dropzone_x,dropzone_y,worker_tracker_residual_m,worker_tracker_outlier,forklift_tracker_residual_m,forklift_tracker_outlier,worker_forklift_dist,worker_forklift_hazard_dist,worker_dropzone_dist,forklift_risk,dropzone_risk,dropzone_forced,early_level,early_reason,early_ttc_s,early_closest_distance_m,early_current_distance_m
0,0.0,1,W01,-10.046,7.835,-10.046,7.835,-0.3713,-2.3617,-0.3713,-2.3617,0.1683,-1.5197,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.056,13.8506,8.8825,0.0,0.0,0,SAFE,safe,,,13.8506
0,0.0,1,W02,-10.5,9.8,-10.5,9.8,-0.3713,-2.3617,-0.3713,-2.3617,0.1683,-1.5197,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8271,15.5547,10.8883,0.0,0.0,0,SAFE,safe,,,15.5547
1,0.0833,0,W01,-10.0459,7.8348,-10.0459,7.8348,-0.3711,-2.3614,-0.3711,-2.3614,0.1684,-1.5194,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0557,13.8504,8.8824,0.0,0.0,0,SAFE,safe,,,13.8504
1,0.0833,0,W02,-10.4997,9.7998,-10.4997,9.7998,-0.3711,-2.3614,-0.3711,-2.3614,0.1684,-1.5194,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8266,15.5542,10.8881,0.0,0.0,0,SAFE,safe,,,15.5542
2,0.1667,1,W01,-10.0455,7.8344,-10.0455,7.8344,-0.3706,-2.3606,-0.3706,-2.3606,0.1691,-1.5188,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.055,13.85,8.8819,0.0,0.0,0,SAFE,safe,,,13.85
2,0.1667,1,W02,-10.4987,9.7993,-10.4987,9.7993,-0.3706,-2.3606,-0.3706,-2.3606,0.1691,-1.5188,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8254,15.5532,10.8874,0.0,0.0,0,SAFE,safe,,,15.5532
3,0.25,0,W01,-10.045,7.8337,-10.045,7.8337,-0.3698,-2.3593,-0.3698,-2.3593,0.1699,-1.5175,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0537,13.8488,8.8811,0.0,0.0,0,SAFE,safe,,,13.8488
3,0.25,0,W02,-10.4972,9.7985,-10.4972,9.7985,-0.3698,-2.3593,-0.3698,-2.3593,0.1699,-1.5175,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8233,15.5512,10.8864,0.0,0.0,0,SAFE,safe,,,15.5512
4,0.3333,1,W01,-10.0442,7.8327,-10.0442,7.8327,-0.3687,-2.3576,-0.3687,-2.3576,0.171,-1.5157,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.052,13.8472,8.8801,0.0,0.0,0,SAFE,safe,,,13.8472
4,0.3333,1,W02,-10.495,9.7973,-10.495,9.7973,-0.3687,-2.3576,-0.3687,-2.3576,0.171,-1.5157,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8204,15.5483,10.885,0.0,0.0,0,SAFE,safe,,,15.5483
5,0.4167,0,W01,-10.0433,7.8314,-10.0433,7.8314,-0.3672,-2.3553,-0.3672,-2.3553,0.1725,-1.5135,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0498,13.8452,8.8787,0.0,0.0,0,SAFE,safe,,,13.8452
5,0.4167,0,W02,-10.4923,9.7959,-10.4923,9.7959,-0.3672,-2.3553,-0.3672,-2.3553,0.1725,-1.5135,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8167,15.5448,10.8832,0.0,0.0,0,SAFE,safe,,,15.5448
6,0.5,1,W01,-10.0421,7.8299,-10.0421,7.8299,-0.3655,-2.3526,-0.3655,-2.3526,0.1742,-1.5107,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0471,13.8427,8.8771,0.0,0.0,0,SAFE,safe,,,13.8427
6,0.5,1,W02,-10.4889,9.7941,-10.4889,9.7941,-0.3655,-2.3526,-0.3655,-2.3526,0.1742,-1.5107,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.8122,15.5403,10.881,0.0,0.0,0,SAFE,safe,,,15.5403
7,0.5833,0,W01,-10.0408,7.8281,-10.0408,7.8281,-0.3634,-2.3494,-0.3634,-2.3494,0.1763,-1.5075,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0439,13.8399,8.8752,0.0,0.0,0,SAFE,safe,,,13.8399
7,0.5833,0,W02,-10.485,9.792,-10.485,9.792,-0.3634,-2.3494,-0.3634,-2.3494,0.1763,-1.5075,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.807,15.5352,10.8784,0.0,0.0,0,SAFE,safe,,,15.5352
8,0.6667,1,W01,-10.0392,7.8261,-10.0392,7.8261,-0.3611,-2.3457,-0.3611,-2.3457,0.1786,-1.5039,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,14.0403,13.8366,8.873,0.0,0.0,0,SAFE,safe,,,13.8366
8,0.6667,1,W02,-10.4806,9.7896,-10.4806,9.7896,-0.3611,-2.3457,-0.3611,-2.3457,0.1786,-1.5039,-9.0619,-0.9929,-9.0619,-0.9929,0.0,0,0.0,0,15.801,15.5294,10.8754,0.0,0.0,0,SAFE,safe,,,15.5294
