frame,time_s,object,world_x,world_y
0,0.0,forklift,-0.3713,-2.3617
0,0.0,dropzone,-9.0619,-0.9929
0,0.0,W01,-10.046,7.835
0,0.0,W02,-10.5,9.8
1,0.0833,forklift,-0.3711,-2.3614
1,0.0833,dropzone,-9.0619,-0.9929
1,0.0833,W01,-10.0459,7.8348
1,0.0833,W02,-10.4997,9.7998
2,0.1667,forklift,-0.3706,-2.3606
2,0.1667,dropzone,-9.0619,-0.9929
2,0.1667,W01,-10.0455,7.8344
2,0.1667,W02,-10.4987,9.7993
3,0.25,forklift,-0.3698,-2.3593
3,0.25,dropzone,-9.0619,-0.9929
3,0.25,W01,-10.045,7.8337
3,0.25,W02,-10.4972,9.7985
4,0.3333,forklift,-0.3687,-2.3576
4,0.3333,dropzone,-9.0619,-0.9929
4,0.3333,W01,-10.0442,7.8327
4,0.3333,W02,-10.495,9.7973
5,0.4167,forklift,-0.3672,-2.3553
5,0.4167,dropzone,-9.0619,-0.9929
5,0.4167,W01,-10.0433,7.8314
5,0.4167,W02,-10.4923,9.7959
6,0.5,forklift,-0.3655,-2.3526
6,0.5,dropzone,-9.0619,-0.9929
6,0.5,W01,-10.0421,7.8299
6,0.5,W02,-10.4889,9.7941
7,0.5833,forklift,-0.3634,-2.3494
7,0.5833,dropzone,-9.0619,-0.9929
7,0.5833,W01,-10.0408,7.8281
7,0.5833,W02,-10.485,9.792
8,0.6667,forklift,-0.3611,-2.3457
8,0.6667,dropzone,-9.0619,-0.9929
8,0.6667,W01,-10.0392,7.8261
8,0.6667,W02,-10.4806,9.7896
9,0.75,forklift,-0.3585,-2.3416
9,0.75,dropzone,-9.0619,-0.9929
9,0.75,W01,-10.0374,7.8238
9,0.75,W02,-10.4756,9.787
10,0.8333,forklift,-0.3555,-2.337
10,0.8333,dropzone,-9.0619,-0.9929
10,0.8333,W01,-10.0355,7.8213
10,0.8333,W02,-10.47,9.784
11,0.9167,forklift,-0.3523,-2.332
11,0.9167,dropzone,-9.0619,-0.9929
11,0.9167,W01,-10.0334,7.8185
11,0.9167,W02,-10.4639,9.7808
12,1.0,forklift,-0.3489,-2.3266
12,1.0,dropzone,-9.0619,-0.9929
12,1.0,W01,-10.0311,7.8155
12,1.0,W02,-10.4573,9.7772
13,1.0833,forklift,-0.3451,-2.3208
13,1.0833,dropzone,-9.0619,-0.9929
