epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.822,0.63316,2.65639,1.09116,1,0.26599,0.82749,0.54069,0.94993,3.25504,1.28332,0.000543038,0.000543038,0.000543038
2,1108.59,0.64514,1.79632,1.086,0.40681,0.2967,0.24253,0.10648,1.47894,3.71151,1.93431,0.000989933,0.000989933,0.000989933
3,1758.39,0.63428,1.45451,1.05443,0.1421,0.40659,0.09796,0.02887,2.18549,3.97566,2.77964,0.00132681,0.00132681,0.00132681
4,2379.4,0.64962,1.29824,1.06432,0.16899,0.2967,0.11977,0.05338,2.03658,3.9202,2.59889,0.0011719,0.0011719,0.0011719
5,2996.37,0.57429,1.0099,1.0053,0.60207,0.61538,0.5867,0.31879,1.64029,2.43269,1.99824,0.00100687,0.00100687,0.00100687
6,3699.59,0.50883,0.86459,0.94365,0.70347,0.76923,0.80966,0.48542,1.26392,1.61761,1.59706,0.000841835,0.000841835,0.000841835
7,4310.28,0.47205,0.73211,0.93674,0.81066,0.87912,0.88088,0.63966,0.90174,1.55155,1.21384,0.000676802,0.000676802,0.000676802
8,4860.09,0.44214,0.64931,0.91356,0.84598,0.92308,0.93741,0.66829,0.9127,1.3731,1.198,0.000511769,0.000511769,0.000511769
9,5418.4,0.39805,0.59481,0.91047,0.88798,0.9011,0.94354,0.73611,0.72667,1.05695,1.12643,0.000346736,0.000346736,0.000346736
10,5968.75,0.36463,0.5433,0.87915,0.8255,0.8838,0.92093,0.73768,0.65918,1.27606,1.05005,0.000181703,0.000181703,0.000181703
