epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6176,1.54583,2.63106,1.84145,0.00333,1,0.68419,0.23799,1.59431,3.11809,1.85898,0.00048,0.00048,0.00048
2,105.739,1.26578,1.67814,1.51566,0.80323,0.73,0.86256,0.36897,1.68566,2.50181,2.43184,0.000960596,0.000960596,0.000960596
3,138.346,1.21915,1.42671,1.4513,0.21756,0.22,0.26689,0.11195,1.82283,2.6281,2.20105,0.00142139,0.00142139,0.00142139
4,180.912,1.19853,1.3058,1.42316,0.21695,0.38,0.13566,0.03229,2.81665,3.42223,6.69271,0.00186239,0.00186239,0.00186239
5,222.843,1.19157,1.2362,1.42385,0.08865,0.07,0.03367,0.00861,2.19563,3.46602,2.66298,0.0018416,0.0018416,0.0018416
6,267.337,1.27617,1.19669,1.49836,0.19462,0.32,0.16918,0.04327,2.17193,2.77613,2.59804,0.001802,0.001802,0.001802
7,320.399,1.20755,1.13227,1.44902,0.46287,0.36,0.31258,0.14807,2.27097,2.67107,2.71631,0.0017624,0.0017624,0.0017624
8,378.12,1.1278,1.00708,1.39098,0.90188,0.47,0.4634,0.25481,1.72412,1.09916,2.23712,0.0017228,0.0017228,0.0017228
9,431.742,1.03275,0.90235,1.31953,0.95619,0.55,0.54817,0.30369,1.41534,1.23569,1.93313,0.0016832,0.0016832,0.0016832
10,485.727,0.9919,0.82796,1.28079,0.96119,0.56,0.55448,0.37164,1.20503,0.83359,1.5276,0.0016436,0.0016436,0.0016436
11,556.673,0.97358,0.81276,1.26783,0.99729,0.54,0.535,0.35884,1.15921,0.71457,1.49105,0.001604,0.001604,0.001604
12,612.87,0.97077,0.76624,1.25429,0.99797,0.56,0.555,0.39249,1.03696,0.65601,1.47429,0.0015644,0.0015644,0.0015644
13,677.713,0.94083,0.76947,1.26674,0.99706,0.41,0.405,0.29328,0.87819,1.10594,1.20389,0.0015248,0.0015248,0.0015248
14,736.248,0.89547,0.71784,1.2099,0.99906,0.88,0.875,0.6384,1.02408,0.63349,1.39528,0.0014852,0.0014852,0.0014852
15,810.428,0.88251,0.6674,1.19963,0.9855,0.39,0.385,0.28356,0.83825,0.66177,1.2012,0.0014456,0.0014456,0.0014456
16,880.835,0.9096,0.66838,1.22132,0.97969,0.49,0.485,0.23998,1.61696,0.83055,2.13558,0.001406,0.001406,0.001406
17,952.464,0.87128,0.63907,1.19761,0.98541,0.64,0.64485,0.49344,0.9332,0.75942,1.18711,0.0013664,0.0013664,0.0013664
18,1026.57,0.87937,0.64475,1.21091,0.98809,0.91,0.90478,0.68738,0.85009,0.52167,1.16724,0.0013268,0.0013268,0.0013268
19,1103.6,0.85727,0.60461,1.19343,0.99928,1,0.995,0.81008,0.66046,0.4405,1.03102,0.0012872,0.0012872,0.0012872
20,1181.91,0.85398,0.61078,1.18623,0.99913,0.8,0.795,0.57682,1.04151,0.51258,1.39968,0.0012476,0.0012476,0.0012476
21,1273.29,0.77652,0.5632,1.14156,0.97936,0.98,0.97223,0.59839,1.35374,0.56284,1.90277,0.001208,0.001208,0.001208
22,1359.2,0.80446,0.59177,1.16691,0.99927,1,0.995,0.79433,0.72974,0.42215,1.09919,0.0011684,0.0011684,0.0011684
23,1464.51,0.72583,0.55321,1.12808,0.99936,1,0.995,0.87173,0.50972,0.35468,0.92902,0.0011288,0.0011288,0.0011288
24,1555.86,0.78759,0.549,1.14946,0.99917,1,0.995,0.82892,0.69443,0.41938,0.99236,0.0010892,0.0010892,0.0010892
25,1647.37,0.7607,0.54602,1.13134,0.99866,1,0.995,0.81454,0.78342,0.40378,1.09701,0.0010496,0.0010496,0.0010496
26,1748.75,0.7651,0.54175,1.11726,0.99931,1,0.995,0.80489,0.73976,0.39595,1.06959,0.00101,0.00101,0.00101
27,1867.58,0.7149,0.51307,1.11851,0.99938,1,0.995,0.86454,0.61859,0.36143,0.98029,0.0009704,0.0009704,0.0009704
28,1967.89,0.7794,0.51699,1.13248,0.99969,1,0.995,0.75552,0.85924,0.43748,1.15466,0.0009308,0.0009308,0.0009308
29,2074.26,0.73254,0.52411,1.11023,0.99822,1,0.995,0.82875,0.65072,0.38846,0.97771,0.0008912,0.0008912,0.0008912
30,2174.23,0.67505,0.4908,1.09064,0.99929,1,0.995,0.882,0.51434,0.33636,0.90189,0.0008516,0.0008516,0.0008516
31,2275.15,0.66018,0.48431,1.07897,0.9994,1,0.995,0.87248,0.54776,0.3265,0.92749,0.000812,0.000812,0.000812
32,2364.82,0.66369,0.49059,1.08495,0.98934,1,0.99441,0.87052,0.51428,0.32595,0.91081,0.0007724,0.0007724,0.0007724
33,2463.76,0.68415,0.50122,1.09526,0.99943,1,0.995,0.85179,0.65493,0.34126,0.98606,0.0007328,0.0007328,0.0007328
34,2576.39,0.63134,0.47606,1.07068,0.9994,1,0.995,0.87675,0.47126,0.30966,0.89713,0.0006932,0.0006932,0.0006932
35,2668.72,0.58935,0.44746,1.03814,0.99938,1,0.995,0.91541,0.4315,0.27961,0.84143,0.0006536,0.0006536,0.0006536
36,2771.08,0.6151,0.46844,1.05362,0.99941,1,0.995,0.90583,0.41857,0.26589,0.85126,0.000614,0.000614,0.000614
37,2858.53,0.58486,0.43543,1.0342,0.99943,1,0.995,0.91825,0.44678,0.26612,0.84761,0.0005744,0.0005744,0.0005744
38,2960.47,0.58704,0.43433,1.04707,0.99942,1,0.995,0.89916,0.4964,0.28162,0.87334,0.0005348,0.0005348,0.0005348
39,3059.34,0.584,0.42351,1.04917,0.99942,1,0.995,0.88778,0.5913,0.30916,0.90569,0.0004952,0.0004952,0.0004952
40,3156.45,0.58473,0.43798,1.05086,0.99943,1,0.995,0.87966,0.55823,0.28664,0.88166,0.0004556,0.0004556,0.0004556
41,3252.87,0.44946,0.35005,0.97412,0.99938,1,0.995,0.90626,0.40934,0.27025,0.83692,0.000416,0.000416,0.000416
42,3359.99,0.41342,0.2912,0.95444,0.99928,1,0.995,0.8688,0.57211,0.31745,0.93517,0.0003764,0.0003764,0.0003764
43,3452.37,0.36876,0.26398,0.93072,0.99937,1,0.995,0.92265,0.40517,0.25802,0.82595,0.0003368,0.0003368,0.0003368
44,3539.66,0.36551,0.25078,0.91429,0.9994,1,0.995,0.88258,0.51908,0.28372,0.90713,0.0002972,0.0002972,0.0002972
45,3613.24,0.39267,0.25774,0.9414,0.9994,1,0.995,0.94889,0.3278,0.23817,0.80161,0.0002576,0.0002576,0.0002576
46,3697.04,0.3635,0.24973,0.91491,0.99941,1,0.995,0.94976,0.33087,0.2257,0.79811,0.000218,0.000218,0.000218
47,3782.45,0.32116,0.23465,0.88655,0.99943,1,0.995,0.95433,0.33534,0.22389,0.78149,0.0001784,0.0001784,0.0001784
48,3858.15,0.32608,0.22748,0.88641,0.99944,1,0.995,0.95011,0.2956,0.21082,0.76087,0.0001388,0.0001388,0.0001388
49,3934.2,0.31233,0.22406,0.87206,0.99944,1,0.995,0.96522,0.28464,0.21018,0.75021,9.92e-05,9.92e-05,9.92e-05
50,4017.33,0.31475,0.22115,0.89882,0.99944,1,0.995,0.96618,0.28442,0.20046,0.74836,5.96e-05,5.96e-05,5.96e-05
