epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4889,1.05644,3.17474,1.27839,0.00621,0.9375,0.28031,0.16528,0.83354,3.70741,1.08053,0,0,0
2,132.49,1.0757,3.32075,1.31411,0.00635,0.9375,0.26987,0.16345,0.80775,3.68301,1.05814,1.63399e-05,1.63399e-05,1.63399e-05
3,159.528,1.14446,3.3288,1.33252,0.00642,0.9375,0.28906,0.19679,0.77447,3.64084,1.04506,3.20197e-05,3.20197e-05,3.20197e-05
4,206.591,1.06044,3.24678,1.2257,0.00658,0.9375,0.34448,0.24167,0.68287,3.6451,1.0109,4.70394e-05,4.70394e-05,4.70394e-05
5,356.698,0.92688,3.05937,1.20571,0.00658,0.9375,0.38898,0.279,0.62009,3.63748,0.99186,6.13989e-05,6.13989e-05,6.13989e-05
6,389.96,0.92464,3.2029,1.15442,0.00662,0.9375,0.42171,0.32652,0.59563,3.64333,0.98354,7.50984e-05,7.50984e-05,7.50984e-05
7,411.407,0.64885,3.14619,1.08022,0.00712,1,0.46167,0.33876,0.59262,3.63649,0.98548,8.81376e-05,8.81376e-05,8.81376e-05
8,433.416,0.80753,3.08192,1.1382,0.00716,1,0.49513,0.37621,0.63458,3.6378,1.0007,0.000100517,0.000100517,0.000100517
9,455.617,0.70058,3.00409,1.08099,0.00723,1,0.62961,0.49863,0.61108,3.63928,0.98458,0.000112236,0.000112236,0.000112236
10,478.381,0.70934,2.92319,1.14475,0.00731,1,0.70303,0.60018,0.58811,3.59636,0.96342,0.000123295,0.000123295,0.000123295
11,497.745,0.81615,2.97679,1.22392,0.00736,1,0.78198,0.64852,0.52887,3.56754,0.93694,0.000133693,0.000133693,0.000133693
12,521.703,0.71436,2.81715,1.06092,0.0074,1,0.82538,0.68414,0.46553,3.51968,0.89802,0.000143432,0.000143432,0.000143432
13,542.599,0.63357,2.79066,1.05433,0.00735,1,0.87136,0.78224,0.42964,3.50548,0.86155,0.00015251,0.00015251,0.00015251
